entry,at,order
"-- ending hand #294 --",2022-11-17T10:15:28.708Z,166868012870802
"""Kyle @ oKP7viGpMz"" collected 0.00 from pot",2022-11-17T10:15:28.708Z,166868012870801
"Uncalled bet of 0.50 returned to ""Kyle @ oKP7viGpMz""",2022-11-17T10:15:28.708Z,166868012870800
"""Cal @ E18ViE79KI"" folds",2022-11-17T10:15:27.897Z,166868012789700
"""Robert @ w37CveWf41"" folds",2022-11-17T10:15:25.718Z,166868012571800
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2022-11-17T10:15:25.348Z,166868012534800
"""Kyle @ oKP7viGpMz"" posts a big blind of 0.50",2022-11-17T10:15:22.971Z,166868012297107
"Dead Small Blind",2022-11-17T10:15:22.971Z,166868012297106
"Your hand is 10♥, 6♦",2022-11-17T10:15:22.971Z,166868012297103
"Player stacks: #1 ""Robert @ w37CveWf41"" (198.89) | #2 ""Cal @ E18ViE79KI"" (182.03) | #7 ""Kyle @ oKP7viGpMz"" (50.57)",2022-11-17T10:15:22.971Z,166868012297102
"-- starting hand #294 (id: vvtujud4nykm)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2022-11-17T10:15:22.971Z,166868012297101
"The player ""Danny Salmon @ 5tcvVo6jdw"" quits the game with a stack of 0.00.",2022-11-17T10:15:22.971Z,166868012297100
"-- ending hand #293 --",2022-11-17T10:15:14.963Z,166868011496302
"""Kyle @ oKP7viGpMz"" collected 22.69 from pot with Two Pair, 10's & 9's on the second run  (combination: 10♦, 10♠, 9♣, 9♠, K♥)",2022-11-17T10:15:14.963Z,166868011496301
"""Kyle @ oKP7viGpMz"" collected 22.70 from pot with Pair, 9's (combination: 9♣, 9♥, K♥, Q♠, J♠)",2022-11-17T10:15:14.963Z,166868011496300
"River (second run): 5♠, 9♠, 10♦, J♥ [10♠]",2022-11-17T10:15:10.885Z,166868011088500
"Turn (second run): 5♠, 9♠, 10♦ [J♥]",2022-11-17T10:15:06.876Z,166868010687600
"Flop (second run):  [5♠, 9♠, 10♦]",2022-11-17T10:15:02.759Z,166868010275900
"River: 5♣, J♠, 8♠, Q♠ [9♥]",2022-11-17T10:14:58.736Z,166868009873600
"Turn: 5♣, J♠, 8♠ [Q♠]",2022-11-17T10:14:54.734Z,166868009473400
"Flop:  [5♣, J♠, 8♠]",2022-11-17T10:14:50.647Z,166868009064700
"""Kyle @ oKP7viGpMz"" shows a 9♣, K♥.",2022-11-17T10:14:46.534Z,166868008653402
"""Danny Salmon @ 5tcvVo6jdw"" shows a 4♦, A♣.",2022-11-17T10:14:46.534Z,166868008653401
"Uncalled bet of 5.18 returned to ""Kyle @ oKP7viGpMz""",2022-11-17T10:14:46.534Z,166868008653400
"All players in hand choose to run it twice.",2022-11-17T10:14:45.668Z,166868008566801
"""Kyle @ oKP7viGpMz"" chooses to  run it twice.",2022-11-17T10:14:45.668Z,166868008566800
"""Danny Salmon @ 5tcvVo6jdw"" chooses to  run it twice.",2022-11-17T10:14:43.734Z,166868008373400
"Remaining players decide whether to run it twice.",2022-11-17T10:14:42.780Z,166868008278001
"""Danny Salmon @ 5tcvVo6jdw"" calls 22.57 and go all in",2022-11-17T10:14:42.780Z,166868008278000
"""Cal @ E18ViE79KI"" folds",2022-11-17T10:14:36.180Z,166868007618000
"""Robert @ w37CveWf41"" folds",2022-11-17T10:14:28.646Z,166868006864600
"""Kyle @ oKP7viGpMz"" raises to 27.75 and go all in",2022-11-17T10:14:27.649Z,166868006764900
"""Danny Salmon @ 5tcvVo6jdw"" posts a big blind of 0.50",2022-11-17T10:14:19.112Z,166868005911207
"""Cal @ E18ViE79KI"" posts a small blind of 0.25",2022-11-17T10:14:19.112Z,166868005911206
"Your hand is 8♣, 6♥",2022-11-17T10:14:19.112Z,166868005911202
"Player stacks: #1 ""Robert @ w37CveWf41"" (198.89) | #2 ""Cal @ E18ViE79KI"" (182.28) | #3 ""Danny Salmon @ 5tcvVo6jdw"" (22.57) | #7 ""Kyle @ oKP7viGpMz"" (27.75)",2022-11-17T10:14:19.112Z,166868005911201
"-- starting hand #293 (id: ntaeqsr4anyz)  (No Limit Texas Hold'em) (dealer: ""Robert @ w37CveWf41"") --",2022-11-17T10:14:19.112Z,166868005911200
"-- ending hand #292 --",2022-11-17T10:14:16.203Z,166868005620302
"""Cal @ E18ViE79KI"" collected 15.89 from pot",2022-11-17T10:14:16.203Z,166868005620301
"Uncalled bet of 11.40 returned to ""Cal @ E18ViE79KI""",2022-11-17T10:14:16.203Z,166868005620300
"""Danny Salmon @ 5tcvVo6jdw"" folds",2022-11-17T10:14:15.304Z,166868005530400
"""Cal @ E18ViE79KI"" bets 11.40",2022-11-17T10:13:37.179Z,166868001717900
"Turn: Q♣, J♣, 4♥ [8♥]",2022-11-17T10:13:22.960Z,166868000296000
"""Danny Salmon @ 5tcvVo6jdw"" calls 6.07",2022-11-17T10:13:22.107Z,166868000210700
"""Cal @ E18ViE79KI"" raises to 6.07",2022-11-17T10:13:18.130Z,166867999813000
"""Danny Salmon @ 5tcvVo6jdw"" bets 1.87",2022-11-17T10:13:12.568Z,166867999256800
"""Cal @ E18ViE79KI"" checks",2022-11-17T10:13:08.053Z,166867998805300
"Flop:  [Q♣, J♣, 4♥]",2022-11-17T10:13:06.058Z,166867998605800
"""Cal @ E18ViE79KI"" calls 1.75",2022-11-17T10:13:05.169Z,166867998516900
"""Robert @ w37CveWf41"" folds",2022-11-17T10:13:03.739Z,166867998373900
"""Kyle @ oKP7viGpMz"" folds",2022-11-17T10:13:01.372Z,166867998137200
"""Danny Salmon @ 5tcvVo6jdw"" raises to 1.75",2022-11-17T10:13:00.385Z,166867998038500
"""Cal @ E18ViE79KI"" posts a big blind of 0.50",2022-11-17T10:12:57.131Z,166867997713107
"""Robert @ w37CveWf41"" posts a small blind of 0.25",2022-11-17T10:12:57.131Z,166867997713106
"Your hand is Q♦, 3♣",2022-11-17T10:12:57.131Z,166867997713102
"Player stacks: #1 ""Robert @ w37CveWf41"" (199.14) | #2 ""Cal @ E18ViE79KI"" (174.21) | #3 ""Danny Salmon @ 5tcvVo6jdw"" (30.39) | #7 ""Kyle @ oKP7viGpMz"" (27.75)",2022-11-17T10:12:57.131Z,166867997713101
"-- starting hand #292 (id: hknvk5lnwyec)  (No Limit Texas Hold'em) (dealer: ""Kyle @ oKP7viGpMz"") --",2022-11-17T10:12:57.131Z,166867997713100
"""Cal @ E18ViE79KI"" shows a A♦, Q♠.",2022-11-17T10:12:54.398Z,166867997439800
"-- ending hand #291 --",2022-11-17T10:12:53.528Z,166867997352802
"""Cal @ E18ViE79KI"" collected 1.25 from pot",2022-11-17T10:12:53.528Z,166867997352801
"Uncalled bet of 1.00 returned to ""Cal @ E18ViE79KI""",2022-11-17T10:12:53.528Z,166867997352800
"""Robert @ w37CveWf41"" folds",2022-11-17T10:12:52.661Z,166867997266100
"""Kyle @ oKP7viGpMz"" folds",2022-11-17T10:12:51.032Z,166867997103200
"""Danny Salmon @ 5tcvVo6jdw"" folds",2022-11-17T10:12:46.421Z,166867996642100
"""Cal @ E18ViE79KI"" raises to 1.50",2022-11-17T10:12:45.484Z,166867996548400
"""Robert @ w37CveWf41"" posts a big blind of 0.50",2022-11-17T10:12:42.635Z,166867996263507
"""Kyle @ oKP7viGpMz"" posts a small blind of 0.25",2022-11-17T10:12:42.635Z,166867996263506
"Your hand is 4♠, 10♦",2022-11-17T10:12:42.635Z,166867996263502
"Player stacks: #1 ""Robert @ w37CveWf41"" (199.64) | #2 ""Cal @ E18ViE79KI"" (173.46) | #3 ""Danny Salmon @ 5tcvVo6jdw"" (30.39) | #7 ""Kyle @ oKP7viGpMz"" (28.00)",2022-11-17T10:12:42.635Z,166867996263501
"-- starting hand #291 (id: xewgzhbwnpws)  (No Limit Texas Hold'em) (dealer: ""Danny Salmon @ 5tcvVo6jdw"") --",2022-11-17T10:12:42.635Z,166867996263500
"-- ending hand #290 --",2022-11-17T10:12:39.718Z,166867995971802
"""Cal @ E18ViE79KI"" collected 2.49 from pot",2022-11-17T10:12:39.718Z,166867995971801
"Uncalled bet of 1.86 returned to ""Cal @ E18ViE79KI""",2022-11-17T10:12:39.718Z,166867995971800
"""Kyle @ oKP7viGpMz"" folds",2022-11-17T10:12:38.901Z,166867995890100
"""Cal @ E18ViE79KI"" bets 1.86",2022-11-17T10:12:37.086Z,166867995708600
"""Kyle @ oKP7viGpMz"" checks",2022-11-17T10:12:32.416Z,166867995241600
"Turn: 5♦, 2♠, Q♥ [10♥]",2022-11-17T10:12:28.114Z,166867994811400
"""Cal @ E18ViE79KI"" calls 0.62",2022-11-17T10:12:27.237Z,166867994723700
"""Kyle @ oKP7viGpMz"" bets 0.62",2022-11-17T10:12:25.159Z,166867994515900
"Flop:  [5♦, 2♠, Q♥]",2022-11-17T10:12:19.415Z,166867993941500
"""Kyle @ oKP7viGpMz"" checks",2022-11-17T10:12:18.591Z,166867993859100
"""Danny Salmon @ 5tcvVo6jdw"" folds",2022-11-17T10:12:16.708Z,166867993670800
"""Cal @ E18ViE79KI"" calls 0.50",2022-11-17T10:12:15.801Z,166867993580100
"""Robert @ w37CveWf41"" folds",2022-11-17T10:12:13.491Z,166867993349100
"""Kyle @ oKP7viGpMz"" posts a big blind of 0.50",2022-11-17T10:12:12.302Z,166867993230207
"""Danny Salmon @ 5tcvVo6jdw"" posts a small blind of 0.25",2022-11-17T10:12:12.302Z,166867993230206
"Your hand is K♥, 8♣",2022-11-17T10:12:12.302Z,166867993230202
"Player stacks: #1 ""Robert @ w37CveWf41"" (199.64) | #2 ""Cal @ E18ViE79KI"" (172.09) | #3 ""Danny Salmon @ 5tcvVo6jdw"" (30.64) | #7 ""Kyle @ oKP7viGpMz"" (29.12)",2022-11-17T10:12:12.302Z,166867993230201
"-- starting hand #290 (id: n68b2krvhqqb)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2022-11-17T10:12:12.302Z,166867993230200
"-- ending hand #289 --",2022-11-17T10:12:04.205Z,166867992420502
"""Danny Salmon @ 5tcvVo6jdw"" collected 30.64 from pot with Full House, 7's over 5's on the second run  (combination: 7♠, 7♣, 7♥, 5♥, 5♣)",2022-11-17T10:12:04.205Z,166867992420501
"""Cal @ E18ViE79KI"" collected 30.64 from pot with Pair, 10's (combination: 10♦, 10♠, K♦, J♥, 8♦)",2022-11-17T10:12:04.205Z,166867992420500
"River (second run): 7♥, 5♥, Q♦, 5♣ [9♦]",2022-11-17T10:12:00.197Z,166867992019700
"Turn (second run): 7♥, 5♥, Q♦ [5♣]",2022-11-17T10:11:56.096Z,166867991609600
"Flop (second run):  [7♥, 5♥, Q♦]",2022-11-17T10:11:52.090Z,166867991209000
"River: 8♦, J♥, 2♣, K♦ [4♣]",2022-11-17T10:11:47.989Z,166867990798900
"Turn: 8♦, J♥, 2♣ [K♦]",2022-11-17T10:11:43.983Z,166867990398300
"Flop:  [8♦, J♥, 2♣]",2022-11-17T10:11:39.978Z,166867989997800
"""Danny Salmon @ 5tcvVo6jdw"" shows a 7♠, 7♣.",2022-11-17T10:11:35.975Z,166867989597501
"""Cal @ E18ViE79KI"" shows a 10♦, 10♠.",2022-11-17T10:11:35.975Z,166867989597500
"All players in hand choose to run it twice.",2022-11-17T10:11:35.166Z,166867989516601
"""Cal @ E18ViE79KI"" chooses to  run it twice.",2022-11-17T10:11:35.166Z,166867989516600
"""Danny Salmon @ 5tcvVo6jdw"" chooses to  run it twice.",2022-11-17T10:11:34.877Z,166867989487700
"Remaining players decide whether to run it twice.",2022-11-17T10:11:33.594Z,166867989359401
"""Cal @ E18ViE79KI"" calls 29.89",2022-11-17T10:11:33.594Z,166867989359400
"""Robert @ w37CveWf41"" folds",2022-11-17T10:11:31.310Z,166867989131000
"""Danny Salmon @ 5tcvVo6jdw"" raises to 29.89 and go all in",2022-11-17T10:11:28.217Z,166867988821700
"""Cal @ E18ViE79KI"" raises to 4.50",2022-11-17T10:11:25.778Z,166867988577800
"""Robert @ w37CveWf41"" raises to 1.50",2022-11-17T10:11:21.805Z,166867988180500
"""Kyle @ oKP7viGpMz"" folds",2022-11-17T10:11:17.407Z,166867987740700
"""Danny Salmon @ 5tcvVo6jdw"" posts a big blind of 0.50",2022-11-17T10:11:15.255Z,166867987525507
"""Cal @ E18ViE79KI"" posts a small blind of 0.25",2022-11-17T10:11:15.255Z,166867987525506
"Your hand is Q♥, J♠",2022-11-17T10:11:15.255Z,166867987525502
