entry,at,order
"-- ending hand #231 --",2022-11-29T10:29:06.669Z,166971774666902
"""Cum Beast @ cMvTjZ31yy"" collected 1.00 from pot",2022-11-29T10:29:06.669Z,166971774666901
"Uncalled bet of 0.50 returned to ""Cum Beast @ cMvTjZ31yy""",2022-11-29T10:29:06.669Z,166971774666900
"""Cal @ E18ViE79KI"" folds",2022-11-29T10:29:05.801Z,166971774580100
"""Cum Beast @ cMvTjZ31yy"" bets 0.50",2022-11-29T10:29:02.446Z,166971774244600
"""Cal @ E18ViE79KI"" checks",2022-11-29T10:28:59.819Z,166971773981900
"Flop:  [5♣, 5♥, 6♠]",2022-11-29T10:28:55.660Z,166971773566000
"""Cum Beast @ cMvTjZ31yy"" checks",2022-11-29T10:28:54.777Z,166971773477700
"""Cal @ E18ViE79KI"" calls 0.50",2022-11-29T10:28:52.361Z,166971773236100
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2022-11-29T10:28:51.328Z,166971773132800
"""Robert @ w37CveWf41"" folds",2022-11-29T10:28:46.687Z,166971772668700
"""Chunk @ ltmSHU_yjH"" folds",2022-11-29T10:28:45.578Z,166971772557800
"""Cum Beast @ cMvTjZ31yy"" posts a big blind of 0.50",2022-11-29T10:28:44.164Z,166971772416407
"""Cal @ E18ViE79KI"" posts a small blind of 0.25",2022-11-29T10:28:44.164Z,166971772416406
"Your hand is 5♦, Q♠",2022-11-29T10:28:44.164Z,166971772416404
"Player stacks: #1 ""Cum Beast @ cMvTjZ31yy"" (214.01) | #4 ""Chunk @ ltmSHU_yjH"" (375.13) | #5 ""Robert @ w37CveWf41"" (100.85) | #10 ""Cal @ E18ViE79KI"" (213.25)",2022-11-29T10:28:44.164Z,166971772416401
"-- starting hand #231 (id: v5on7o9utfmj)  (No Limit Texas Hold'em) (dead button) --",2022-11-29T10:28:44.164Z,166971772416400
"-- ending hand #230 --",2022-11-29T10:28:41.254Z,166971772125402
"""Cal @ E18ViE79KI"" collected 17.16 from pot",2022-11-29T10:28:41.254Z,166971772125401
"Uncalled bet of 8.86 returned to ""Cal @ E18ViE79KI""",2022-11-29T10:28:41.254Z,166971772125400
"""Chunk @ ltmSHU_yjH"" folds",2022-11-29T10:28:40.427Z,166971772042700
"""Cal @ E18ViE79KI"" bets 8.86",2022-11-29T10:28:23.340Z,166971770334000
