entry,at,order
"-- ending hand #188 --",2022-11-08T10:05:44.737Z,166790194473702
"""Hugh Hefner @ L7QN4hXwLy"" collected 13.50 from pot",2022-11-08T10:05:44.737Z,166790194473701
"Uncalled bet of 6.90 returned to ""Hugh Hefner @ L7QN4hXwLy""",2022-11-08T10:05:44.737Z,166790194473700
"""Robert @ zRtqW5d6Mc"" folds",2022-11-08T10:05:43.884Z,166790194388400
"""Hugh Hefner @ L7QN4hXwLy"" bets 6.90",2022-11-08T10:05:42.709Z,166790194270900
"""Robert @ zRtqW5d6Mc"" checks",2022-11-08T10:05:36.221Z,166790193622100
"Turn: Q♥, Q♦, 3♥ [10♣]",2022-11-08T10:05:33.023Z,166790193302300
"""Cal @ aFFqA9i1yY"" folds",2022-11-08T10:05:32.134Z,166790193213400
"""Hugh Hefner @ L7QN4hXwLy"" calls 4.50",2022-11-08T10:05:29.623Z,166790192962300
"""Robert @ zRtqW5d6Mc"" bets 4.50",2022-11-08T10:05:26.495Z,166790192649500
"Flop:  [Q♥, Q♦, 3♥]",2022-11-08T10:05:19.796Z,166790191979600
"""Hugh Hefner @ L7QN4hXwLy"" calls 1.50",2022-11-08T10:05:18.991Z,166790191899100
"""Robert @ zRtqW5d6Mc"" calls 1.50",2022-11-08T10:05:10.566Z,166790191056600
"The admin ""Cal @ aFFqA9i1yY"" enqueued the game stop on next hand.",2022-11-08T10:05:09.307Z,166790190930700
"""Danny Salmon @ 5tcvVo6jdw"" folds",2022-11-08T10:05:08.839Z,166790190883900
"""Cal @ aFFqA9i1yY"" raises to 1.50",2022-11-08T10:05:07.662Z,166790190766200
"""Hugh Hefner @ L7QN4hXwLy"" posts a big blind of 0.50",2022-11-08T10:05:04.097Z,166790190409707
"""Robert @ zRtqW5d6Mc"" posts a small blind of 0.25",2022-11-08T10:05:04.097Z,166790190409706
"Your hand is K♦, 2♥",2022-11-08T10:05:04.097Z,166790190409705
"Player stacks: #2 ""Hugh Hefner @ L7QN4hXwLy"" (86.24) | #4 ""Cal @ aFFqA9i1yY"" (112.79) | #6 ""Danny Salmon @ 5tcvVo6jdw"" (147.65) | #7 ""Robert @ zRtqW5d6Mc"" (174.34)",2022-11-08T10:05:04.097Z,166790190409701
"-- starting hand #188  (No Limit Texas Hold'em) (dealer: ""Danny Salmon @ 5tcvVo6jdw"") --",2022-11-08T10:05:04.097Z,166790190409700
"-- ending hand #187 --",2022-11-08T10:05:01.094Z,166790190109402
"""Robert @ zRtqW5d6Mc"" collected 0.50 from pot",2022-11-08T10:05:01.094Z,166790190109401
"Uncalled bet of 0.25 returned to ""Robert @ zRtqW5d6Mc""",2022-11-08T10:05:01.094Z,166790190109400
"""Danny Salmon @ 5tcvVo6jdw"" folds",2022-11-08T10:05:00.278Z,166790190027800
"""Cal @ aFFqA9i1yY"" folds",2022-11-08T10:04:59.326Z,166790189932600
"""Hugh Hefner @ L7QN4hXwLy"" folds",2022-11-08T10:04:57.644Z,166790189764400
"""Robert @ zRtqW5d6Mc"" posts a big blind of 0.50",2022-11-08T10:04:55.490Z,166790189549007
"""Danny Salmon @ 5tcvVo6jdw"" posts a small blind of 0.25",2022-11-08T10:04:55.490Z,166790189549006
"Your hand is 7♣, 5♣",2022-11-08T10:04:55.490Z,166790189549005
"Player stacks: #2 ""Hugh Hefner @ L7QN4hXwLy"" (86.24) | #4 ""Cal @ aFFqA9i1yY"" (112.79) | #6 ""Danny Salmon @ 5tcvVo6jdw"" (147.90) | #7 ""Robert @ zRtqW5d6Mc"" (174.09)",2022-11-08T10:04:55.490Z,166790189549001
"-- starting hand #187  (No Limit Texas Hold'em) (dealer: ""Cal @ aFFqA9i1yY"") --",2022-11-08T10:04:55.490Z,166790189549000
"-- ending hand #186 --",2022-11-08T10:04:52.488Z,166790189248802
"""Robert @ zRtqW5d6Mc"" collected 1.25 from pot",2022-11-08T10:04:52.488Z,166790189248801
"Uncalled bet of 1.00 returned to ""Robert @ zRtqW5d6Mc""",2022-11-08T10:04:52.488Z,166790189248800
"""Danny Salmon @ 5tcvVo6jdw"" folds",2022-11-08T10:04:51.673Z,166790189167300
"""Cal @ aFFqA9i1yY"" folds",2022-11-08T10:04:50.696Z,166790189069600
"""Hugh Hefner @ L7QN4hXwLy"" folds",2022-11-08T10:04:49.761Z,166790188976100
"""Robert @ zRtqW5d6Mc"" raises to 1.50",2022-11-08T10:04:44.914Z,166790188491400
"""Danny Salmon @ 5tcvVo6jdw"" posts a big blind of 0.50",2022-11-08T10:04:41.976Z,166790188197607
"""Cal @ aFFqA9i1yY"" posts a small blind of 0.25",2022-11-08T10:04:41.976Z,166790188197606
"Your hand is A♣, 2♥",2022-11-08T10:04:41.976Z,166790188197605
"Player stacks: #2 ""Hugh Hefner @ L7QN4hXwLy"" (86.24) | #4 ""Cal @ aFFqA9i1yY"" (113.04) | #6 ""Danny Salmon @ 5tcvVo6jdw"" (148.40) | #7 ""Robert @ zRtqW5d6Mc"" (173.34)",2022-11-08T10:04:41.976Z,166790188197601
"-- starting hand #186  (No Limit Texas Hold'em) (dealer: ""Hugh Hefner @ L7QN4hXwLy"") --",2022-11-08T10:04:41.976Z,166790188197600
"-- ending hand #185 --",2022-11-08T10:04:38.987Z,166790187898702
"""Hugh Hefner @ L7QN4hXwLy"" collected 3.88 from pot",2022-11-08T10:04:38.987Z,166790187898701
"Uncalled bet of 2.69 returned to ""Hugh Hefner @ L7QN4hXwLy""",2022-11-08T10:04:38.987Z,166790187898700
"""Danny Salmon @ 5tcvVo6jdw"" folds",2022-11-08T10:04:38.164Z,166790187816400
"""Hugh Hefner @ L7QN4hXwLy"" bets 2.69",2022-11-08T10:04:34.466Z,166790187446600
"River: 8♥, Q♥, 3♣, Q♣ [3♠]",2022-11-08T10:04:30.768Z,166790187076800
"""Danny Salmon @ 5tcvVo6jdw"" checks",2022-11-08T10:04:29.954Z,166790186995400
"""Hugh Hefner @ L7QN4hXwLy"" checks",2022-11-08T10:04:28.576Z,166790186857600
"Turn: 8♥, Q♥, 3♣ [Q♣]",2022-11-08T10:04:24.962Z,166790186496200
"""Danny Salmon @ 5tcvVo6jdw"" checks",2022-11-08T10:04:24.094Z,166790186409400
"""Hugh Hefner @ L7QN4hXwLy"" checks",2022-11-08T10:04:21.663Z,166790186166300
"Flop:  [8♥, Q♥, 3♣]",2022-11-08T10:04:19.559Z,166790185955900
"""Danny Salmon @ 5tcvVo6jdw"" calls 1.69",2022-11-08T10:04:18.672Z,166790185867200
"""Cal @ aFFqA9i1yY"" folds",2022-11-08T10:04:16.947Z,166790185694700
"""Hugh Hefner @ L7QN4hXwLy"" raises to 1.69",2022-11-08T10:04:13.680Z,166790185368000
"""Robert @ zRtqW5d6Mc"" folds",2022-11-08T10:04:06.994Z,166790184699400
"""Danny Salmon @ 5tcvVo6jdw"" calls 0.50",2022-11-08T10:04:04.599Z,166790184459900
"""Cal @ aFFqA9i1yY"" posts a big blind of 0.50",2022-11-08T10:04:02.142Z,166790184214208
"""Hugh Hefner @ L7QN4hXwLy"" posts a small blind of 0.25",2022-11-08T10:04:02.142Z,166790184214207
"Your hand is 2♦, Q♠",2022-11-08T10:04:02.142Z,166790184214206
