entry,at,order
"The player ""puzzyfoot @ tN9dOiG8aR"" quits the game with a stack of 0.",2022-11-10T07:08:09.077Z,166806408907700
"-- ending hand #109 --",2022-11-10T07:08:02.831Z,166806408283103
"""puzzyfoot @ tN9dOiG8aR"" shows a Q♠, A♦.",2022-11-10T07:08:02.831Z,166806408283102
"""Robert @ w37CveWf41"" collected 55536 from pot with Straight, 7 High (combination: 7♠, 6♦, 5♥, 4♦, 3♦)",2022-11-10T07:08:02.831Z,166806408283101
"""Robert @ w37CveWf41"" shows a 3♦, A♠.",2022-11-10T07:08:02.831Z,166806408283100
"""Robert @ w37CveWf41"" calls 17968",2022-11-10T07:08:02.020Z,166806408202000
"""puzzyfoot @ tN9dOiG8aR"" raises to 17968 and go all in",2022-11-10T07:08:00.132Z,166806408013200
"""Robert @ w37CveWf41"" bets 10000",2022-11-10T07:07:56.571Z,166806407657100
"River: 4♦, 7♠, 5♥, 6♦ [Q♥]",2022-11-10T07:07:45.821Z,166806406582100
"""puzzyfoot @ tN9dOiG8aR"" checks",2022-11-10T07:07:45.010Z,166806406501000
"""Robert @ w37CveWf41"" checks",2022-11-10T07:07:13.914Z,166806403391400
"Turn: 4♦, 7♠, 5♥ [6♦]",2022-11-10T07:07:10.001Z,166806403000100
"""Robert @ w37CveWf41"" calls 5600",2022-11-10T07:07:09.126Z,166806402912600
"""puzzyfoot @ tN9dOiG8aR"" bets 5600",2022-11-10T07:07:05.625Z,166806402562500
"""Robert @ w37CveWf41"" checks",2022-11-10T07:07:01.086Z,166806402108600
"Flop:  [4♦, 7♠, 5♥]",2022-11-10T07:06:57.996Z,166806401799600
"""Robert @ w37CveWf41"" calls 4200",2022-11-10T07:06:57.066Z,166806401706600
"""puzzyfoot @ tN9dOiG8aR"" raises to 4200",2022-11-10T07:06:52.501Z,166806401250100
"""Robert @ w37CveWf41"" posts a big blind of 1400",2022-11-10T07:06:47.269Z,166806400726905
"""puzzyfoot @ tN9dOiG8aR"" posts a small blind of 700",2022-11-10T07:06:47.269Z,166806400726904
"Your hand is 3♦, A♠",2022-11-10T07:06:47.269Z,166806400726903
"Player stacks: #3 ""puzzyfoot @ tN9dOiG8aR"" (27768) | #5 ""Robert @ w37CveWf41"" (32232)",2022-11-10T07:06:47.269Z,166806400726901
"-- starting hand #109  (No Limit Texas Hold'em) (dealer: ""puzzyfoot @ tN9dOiG8aR"") --",2022-11-10T07:06:47.269Z,166806400726900
"-- ending hand #108 --",2022-11-10T07:06:44.179Z,166806400417902
"""Robert @ w37CveWf41"" collected 2800 from pot",2022-11-10T07:06:44.179Z,166806400417901
"Uncalled bet of 2100 returned to ""Robert @ w37CveWf41""",2022-11-10T07:06:44.179Z,166806400417900
"""puzzyfoot @ tN9dOiG8aR"" folds",2022-11-10T07:06:43.249Z,166806400324900
"""Robert @ w37CveWf41"" raises to 3500",2022-11-10T07:06:22.428Z,166806398242800
"""puzzyfoot @ tN9dOiG8aR"" posts a big blind of 1400",2022-11-10T07:06:18.849Z,166806397884905
"""Robert @ w37CveWf41"" posts a small blind of 700",2022-11-10T07:06:18.849Z,166806397884904
"Your hand is 10♥, K♦",2022-11-10T07:06:18.849Z,166806397884903
"Player stacks: #3 ""puzzyfoot @ tN9dOiG8aR"" (29168) | #5 ""Robert @ w37CveWf41"" (30832)",2022-11-10T07:06:18.849Z,166806397884901
"-- starting hand #108  (No Limit Texas Hold'em) (dealer: ""Robert @ w37CveWf41"") --",2022-11-10T07:06:18.849Z,166806397884900
"-- ending hand #107 --",2022-11-10T07:06:15.830Z,166806397583002
"""Robert @ w37CveWf41"" collected 1400 from pot",2022-11-10T07:06:15.830Z,166806397583001
"Uncalled bet of 700 returned to ""Robert @ w37CveWf41""",2022-11-10T07:06:15.830Z,166806397583000
"""puzzyfoot @ tN9dOiG8aR"" folds",2022-11-10T07:06:15.009Z,166806397500900
"""Robert @ w37CveWf41"" posts a big blind of 1400",2022-11-10T07:05:58.036Z,166806395803605
"""puzzyfoot @ tN9dOiG8aR"" posts a small blind of 700",2022-11-10T07:05:58.036Z,166806395803604
"Your hand is 8♣, K♣",2022-11-10T07:05:58.036Z,166806395803603
"Player stacks: #3 ""puzzyfoot @ tN9dOiG8aR"" (29868) | #5 ""Robert @ w37CveWf41"" (30132)",2022-11-10T07:05:58.036Z,166806395803601
"-- starting hand #107  (No Limit Texas Hold'em) (dealer: ""puzzyfoot @ tN9dOiG8aR"") --",2022-11-10T07:05:58.036Z,166806395803600
"-- ending hand #106 --",2022-11-10T07:05:55.017Z,166806395501702
"""puzzyfoot @ tN9dOiG8aR"" collected 1400 from pot",2022-11-10T07:05:55.017Z,166806395501701
"Uncalled bet of 700 returned to ""puzzyfoot @ tN9dOiG8aR""",2022-11-10T07:05:55.017Z,166806395501700
"""Robert @ w37CveWf41"" folds",2022-11-10T07:05:54.141Z,166806395414100
"""puzzyfoot @ tN9dOiG8aR"" posts a big blind of 1400",2022-11-10T07:05:52.633Z,166806395263305
"""Robert @ w37CveWf41"" posts a small blind of 700",2022-11-10T07:05:52.633Z,166806395263304
"Your hand is 4♣, 9♠",2022-11-10T07:05:52.633Z,166806395263303
"Player stacks: #3 ""puzzyfoot @ tN9dOiG8aR"" (29168) | #5 ""Robert @ w37CveWf41"" (30832)",2022-11-10T07:05:52.633Z,166806395263301
"-- starting hand #106  (No Limit Texas Hold'em) (dealer: ""Robert @ w37CveWf41"") --",2022-11-10T07:05:52.633Z,166806395263300
"-- ending hand #105 --",2022-11-10T07:05:49.537Z,166806394953702
"""puzzyfoot @ tN9dOiG8aR"" collected 2800 from pot",2022-11-10T07:05:49.537Z,166806394953701
"Uncalled bet of 2800 returned to ""puzzyfoot @ tN9dOiG8aR""",2022-11-10T07:05:49.537Z,166806394953700
"""Robert @ w37CveWf41"" folds",2022-11-10T07:05:48.699Z,166806394869900
"""puzzyfoot @ tN9dOiG8aR"" raises to 4200",2022-11-10T07:05:44.553Z,166806394455300
"""Robert @ w37CveWf41"" posts a big blind of 1400",2022-11-10T07:05:39.058Z,166806393905806
"""puzzyfoot @ tN9dOiG8aR"" posts a small blind of 700",2022-11-10T07:05:39.058Z,166806393905805
