entry,at,order
"The player ""Robert @ w37CveWf41"" quits the game with a stack of 0.00.",2022-12-13T08:44:39.641Z,167092107964100
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2022-12-13T08:44:34.504Z,167092107450400
"-- ending hand #293 --",2022-12-13T08:44:31.634Z,167092107163402
"""Chunk @ ltmSHU_yjH"" collected 154.38 from pot with Two Pair, A's & 10's on the second run  (combination: A♣, A♠, 10♦, 10♠, 7♣)",2022-12-13T08:44:31.634Z,167092107163401
"""Chunk @ ltmSHU_yjH"" collected 154.38 from pot with Two Pair, A's & 9's (combination: A♣, A♠, 9♥, 9♣, 5♦)",2022-12-13T08:44:31.634Z,167092107163400
"River (second run): 2♠, 10♦, 7♣, 6♣ [10♠]",2022-12-13T08:44:27.631Z,167092106763100
"Turn (second run): 2♠, 10♦, 7♣ [6♣]",2022-12-13T08:44:23.629Z,167092106362900
"Flop (second run):  [2♠, 10♦, 7♣]",2022-12-13T08:44:19.571Z,167092105957100
"River: 4♦, 9♥, 5♦, 9♣ [4♠]",2022-12-13T08:44:15.565Z,167092105556500
"Turn: 4♦, 9♥, 5♦ [9♣]",2022-12-13T08:44:11.557Z,167092105155700
"Flop:  [4♦, 9♥, 5♦]",2022-12-13T08:44:07.549Z,167092104754900
"""Robert @ w37CveWf41"" shows a K♥, K♠.",2022-12-13T08:44:03.539Z,167092104353901
"""Chunk @ ltmSHU_yjH"" shows a A♣, A♠.",2022-12-13T08:44:03.539Z,167092104353900
"All players in hand choose to run it twice.",2022-12-13T08:44:02.657Z,167092104265701
"""Robert @ w37CveWf41"" chooses to  run it twice.",2022-12-13T08:44:02.657Z,167092104265700
"""Chunk @ ltmSHU_yjH"" chooses to  run it twice.",2022-12-13T08:44:01.586Z,167092104158600
"Remaining players decide whether to run it twice.",2022-12-13T08:43:59.744Z,167092103974401
"""Chunk @ ltmSHU_yjH"" calls 154.38",2022-12-13T08:43:59.744Z,167092103974400
"""Robert @ w37CveWf41"" raises to 154.38 and go all in",2022-12-13T08:43:57.898Z,167092103789800
"""Chunk @ ltmSHU_yjH"" raises to 60.00",2022-12-13T08:43:40.220Z,167092102022000
"""Robert @ w37CveWf41"" raises to 20.00",2022-12-13T08:42:55.313Z,167092097531300
"""Chunk @ ltmSHU_yjH"" raises to 4.25",2022-12-13T08:42:35.176Z,167092095517600
"""Robert @ w37CveWf41"" raises to 1.75",2022-12-13T08:42:17.787Z,167092093778700
"""Chunk @ ltmSHU_yjH"" calls 0.50",2022-12-13T08:42:11.727Z,167092093172700
"""Cal @ E18ViE79KI"" folds",2022-12-13T08:42:09.280Z,167092092928000
"""Robert @ w37CveWf41"" posts a big blind of 0.50",2022-12-13T08:42:05.317Z,167092092531706
"""Chunk @ ltmSHU_yjH"" posts a small blind of 0.25",2022-12-13T08:42:05.317Z,167092092531705
"Your hand is K♥, K♠",2022-12-13T08:42:05.317Z,167092092531704
"Player stacks: #5 ""Cal @ E18ViE79KI"" (71.85) | #6 ""Chunk @ ltmSHU_yjH"" (161.19) | #7 ""Robert @ w37CveWf41"" (154.38)",2022-12-13T08:42:05.317Z,167092092531701
"-- starting hand #293 (id: gwfvxmockiab)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2022-12-13T08:42:05.317Z,167092092531700
"-- ending hand #292 --",2022-12-13T08:41:59.214Z,167092091921403
"""Chunk @ ltmSHU_yjH"" shows a 8♠, J♠.",2022-12-13T08:41:59.214Z,167092091921402
"""Robert @ w37CveWf41"" collected 13.75 from pot with Two Pair, J's & 9's (combination: J♥, J♣, 9♣, 9♦, K♠)",2022-12-13T08:41:59.214Z,167092091921401
"""Robert @ w37CveWf41"" shows a K♠, J♥.",2022-12-13T08:41:59.214Z,167092091921400
"""Robert @ w37CveWf41"" calls 5.25",2022-12-13T08:41:58.336Z,167092091833600
"""Chunk @ ltmSHU_yjH"" bets 5.25",2022-12-13T08:41:55.811Z,167092091581100
"River: 3♦, 4♣, 9♣, 9♦ [J♣]",2022-12-13T08:41:48.197Z,167092090819700
"""Robert @ w37CveWf41"" checks",2022-12-13T08:41:47.336Z,167092090733600
"""Chunk @ ltmSHU_yjH"" checks",2022-12-13T08:41:46.126Z,167092090612600
"Turn: 3♦, 4♣, 9♣ [9♦]",2022-12-13T08:41:43.396Z,167092090339600
"""Robert @ w37CveWf41"" checks",2022-12-13T08:41:42.550Z,167092090255000
"""Chunk @ ltmSHU_yjH"" checks",2022-12-13T08:41:41.163Z,167092090116300
"Flop:  [3♦, 4♣, 9♣]",2022-12-13T08:41:39.694Z,167092089969400
"""Chunk @ ltmSHU_yjH"" calls 1.50",2022-12-13T08:41:38.856Z,167092089885600
"""Cal @ E18ViE79KI"" folds",2022-12-13T08:41:30.462Z,167092089046200
"""Robert @ w37CveWf41"" raises to 1.50",2022-12-13T08:41:28.972Z,167092088897200
"""Chunk @ ltmSHU_yjH"" posts a big blind of 0.50",2022-12-13T08:41:24.982Z,167092088498206
"""Cal @ E18ViE79KI"" posts a small blind of 0.25",2022-12-13T08:41:24.982Z,167092088498205
"Your hand is K♠, J♥",2022-12-13T08:41:24.982Z,167092088498204
"Player stacks: #5 ""Cal @ E18ViE79KI"" (72.10) | #6 ""Chunk @ ltmSHU_yjH"" (167.94) | #7 ""Robert @ w37CveWf41"" (147.38)",2022-12-13T08:41:24.982Z,167092088498201
"-- starting hand #292 (id: ln8rzk3hyw2p)  (No Limit Texas Hold'em) (dealer: ""Robert @ w37CveWf41"") --",2022-12-13T08:41:24.982Z,167092088498200
