entry,at,order
"-- ending hand #390 --",2023-04-18T10:20:59.529Z,168181325952902
"""Robert @ w37CveWf41"" collected 4.50 from pot",2023-04-18T10:20:59.529Z,168181325952901
"Uncalled bet of 2.00 returned to ""Robert @ w37CveWf41""",2023-04-18T10:20:59.529Z,168181325952900
"""josh. @ N4cxDZeRK_"" folds",2023-04-18T10:20:58.698Z,168181325869800
"""Cal @ E18ViE79KI"" folds",2023-04-18T10:20:57.681Z,168181325768100
"""Robert @ w37CveWf41"" bets 2.00",2023-04-18T10:20:55.147Z,168181325514700
"""josh. @ N4cxDZeRK_"" checks",2023-04-18T10:20:53.120Z,168181325312000
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2023-04-18T10:20:52.588Z,168181325258800
"Flop:  [10♦, 10♠, K♥]",2023-04-18T10:20:50.921Z,168181325092100
"""Cal @ E18ViE79KI"" calls 1.50",2023-04-18T10:20:50.089Z,168181325008900
"""Robert @ w37CveWf41"" calls 1.50",2023-04-18T10:20:48.358Z,168181324835800
"""josh. @ N4cxDZeRK_"" raises to 1.50",2023-04-18T10:20:46.498Z,168181324649800
"""Cal @ E18ViE79KI"" posts a straddle of 1.00",2023-04-18T10:20:44.023Z,168181324402307
"""Robert @ w37CveWf41"" posts a big blind of 0.50",2023-04-18T10:20:44.023Z,168181324402306
"""josh. @ N4cxDZeRK_"" posts a small blind of 0.25",2023-04-18T10:20:44.023Z,168181324402305
"Your hand is J♦, 9♣",2023-04-18T10:20:44.023Z,168181324402303
"Player stacks: #3 ""josh. @ N4cxDZeRK_"" (271.87) | #4 ""Robert @ w37CveWf41"" (317.73) | #6 ""Cal @ E18ViE79KI"" (321.21)",2023-04-18T10:20:44.023Z,168181324402301
"-- starting hand #390 (id: 5g1sxgsxelkh)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2023-04-18T10:20:44.023Z,168181324402300
"-- ending hand #389 --",2023-04-18T10:20:41.114Z,168181324111402
"""josh. @ N4cxDZeRK_"" collected 2.25 from pot",2023-04-18T10:20:41.114Z,168181324111401
"Uncalled bet of 2.25 returned to ""josh. @ N4cxDZeRK_""",2023-04-18T10:20:41.114Z,168181324111400
"""Robert @ w37CveWf41"" folds",2023-04-18T10:20:40.277Z,168181324027700
"""josh. @ N4cxDZeRK_"" raises to 3.25",2023-04-18T10:20:37.061Z,168181323706100
"""Cal @ E18ViE79KI"" folds",2023-04-18T10:20:33.859Z,168181323385900
"""Robert @ w37CveWf41"" posts a straddle of 1.00",2023-04-18T10:20:32.212Z,168181323221207
"""josh. @ N4cxDZeRK_"" posts a big blind of 0.50",2023-04-18T10:20:32.212Z,168181323221206
"""Cal @ E18ViE79KI"" posts a small blind of 0.25",2023-04-18T10:20:32.212Z,168181323221205
"Your hand is 8♣, K♦",2023-04-18T10:20:32.212Z,168181323221203
