entry,at,order
"-- ending hand #257 --",2023-04-20T09:11:09.672Z,168198186967202
"""Spero @ Z_95jlf3Kx"" collected 1.00 from pot",2023-04-20T09:11:09.672Z,168198186967201
"Uncalled bet of 0.50 returned to ""Spero @ Z_95jlf3Kx""",2023-04-20T09:11:09.672Z,168198186967200
"""Cal @ E18ViE79KI"" folds",2023-04-20T09:11:08.866Z,168198186886600
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2023-04-20T09:11:07.650Z,168198186765000
"""Spero @ Z_95jlf3Kx"" posts a straddle of 1.00",2023-04-20T09:11:02.669Z,168198186266907
"""Cal @ E18ViE79KI"" posts a big blind of 0.50",2023-04-20T09:11:02.669Z,168198186266906
"""Spero @ Z_95jlf3Kx"" posts a small blind of 0.25",2023-04-20T09:11:02.669Z,168198186266905
"Player stacks: #6 ""Spero @ Z_95jlf3Kx"" (364.04) | #8 ""Cal @ E18ViE79KI"" (450.65)",2023-04-20T09:11:02.669Z,168198186266902
"-- starting hand #257 (id: vo7bly16gcda)  (No Limit Texas Hold'em) (dealer: ""Spero @ Z_95jlf3Kx"") --",2023-04-20T09:11:02.669Z,168198186266901
"The player ""Josh @ wxb-7pNeSV"" quits the game with a stack of 0.00.",2023-04-20T09:11:02.669Z,168198186266900
"-- ending hand #256 --",2023-04-20T09:10:56.651Z,168198185665101
"""Cal @ E18ViE79KI"" collected 40.50 from pot with Straight, J High (combination: J♣, 10♣, 9♣, 8♠, 7♦)",2023-04-20T09:10:56.651Z,168198185665100
"River: 2♥, 10♣, J♣, 7♦ [10♠]",2023-04-20T09:10:52.644Z,168198185264400
"""Cal @ E18ViE79KI"" shows a 9♣, 8♠.",2023-04-20T09:10:48.505Z,168198184850501
"""Josh @ wxb-7pNeSV"" shows a K♣, A♠.",2023-04-20T09:10:48.505Z,168198184850500
"Some players choose to not run it twice.",2023-04-20T09:10:47.696Z,168198184769601
"""Cal @ E18ViE79KI"" chooses to not run it twice.",2023-04-20T09:10:47.696Z,168198184769600
"""Josh @ wxb-7pNeSV"" chooses to  run it twice.",2023-04-20T09:10:47.077Z,168198184707700
"Remaining players decide whether to run it twice.",2023-04-20T09:10:45.361Z,168198184536101
"""Josh @ wxb-7pNeSV"" calls 12.45 and go all in",2023-04-20T09:10:45.361Z,168198184536100
"""Cal @ E18ViE79KI"" raises to 12.45",2023-04-20T09:10:43.908Z,168198184390800
"""Josh @ wxb-7pNeSV"" bets 11.70",2023-04-20T09:10:39.341Z,168198183934100
"Turn: 2♥, 10♣, J♣ [7♦]",2023-04-20T09:10:36.351Z,168198183635100
