entry,at,order
"The player ""Spero @ 7PSVHF7rE9"" quits the game with a stack of 115.01.",2023-03-11T02:06:51.370Z,167850041137000
"-- ending hand #181 --",2023-03-11T02:06:48.420Z,167850040842002
"""ChunkyMonkey @ ltmSHU_yjH"" collected 26.15 from pot",2023-03-11T02:06:48.420Z,167850040842001
"Uncalled bet of 16.65 returned to ""ChunkyMonkey @ ltmSHU_yjH""",2023-03-11T02:06:48.420Z,167850040842000
"""Robert @ w37CveWf41"" folds",2023-03-11T02:06:47.608Z,167850040760800
"""ChunkyMonkey @ ltmSHU_yjH"" bets 16.65",2023-03-11T02:05:51.154Z,167850035115400
"Turn: 8♦, Q♦, A♠ [J♦]",2023-03-11T02:05:19.928Z,167850031992800
"""Cal @ E18ViE79KI"" folds",2023-03-11T02:05:19.101Z,167850031910100
"""Robert @ w37CveWf41"" calls 6.85",2023-03-11T02:05:18.184Z,167850031818400
"""ChunkyMonkey @ ltmSHU_yjH"" bets 6.85",2023-03-11T02:05:14.288Z,167850031428800
"Flop:  [8♦, Q♦, A♠]",2023-03-11T02:05:01.090Z,167850030109000
"""Cal @ E18ViE79KI"" calls 4.15",2023-03-11T02:05:00.220Z,167850030022000
"""Robert @ w37CveWf41"" calls 4.15",2023-03-11T02:04:56.671Z,167850029667100
"""ChunkyMonkey @ ltmSHU_yjH"" raises to 4.15",2023-03-11T02:04:51.600Z,167850029160000
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2023-03-11T02:04:43.121Z,167850028312100
"""Spero @ 7PSVHF7rE9"" folds",2023-03-11T02:04:42.951Z,167850028295100
"""Cal @ E18ViE79KI"" raises to 1.50",2023-03-11T02:04:40.467Z,167850028046700
"""Robert @ w37CveWf41"" posts a big blind of 0.50",2023-03-11T02:04:36.675Z,167850027667507
"""ChunkyMonkey @ ltmSHU_yjH"" posts a small blind of 0.25",2023-03-11T02:04:36.675Z,167850027667506
"Your hand is 3♥, A♥",2023-03-11T02:04:36.675Z,167850027667504
"Player stacks: #2 ""Spero @ 7PSVHF7rE9"" (115.01) | #3 ""ChunkyMonkey @ ltmSHU_yjH"" (78.73) | #4 ""Robert @ w37CveWf41"" (144.63) | #9 ""Cal @ E18ViE79KI"" (42.76)",2023-03-11T02:04:36.675Z,167850027667501
"-- starting hand #181 (id: ynssvsezqkpi)  (No Limit Texas Hold'em) (dealer: ""Spero @ 7PSVHF7rE9"") --",2023-03-11T02:04:36.675Z,167850027667500
"-- ending hand #180 --",2023-03-11T02:04:30.670Z,167850027067002
"""Spero @ 7PSVHF7rE9"" collected 16.64 from pot with Pair, K's (combination: K♠, K♣, J♥, 9♥, 7♦)",2023-03-11T02:04:30.670Z,167850027067001
"""Spero @ 7PSVHF7rE9"" shows a J♥, K♠.",2023-03-11T02:04:30.670Z,167850027067000
"""ChunkyMonkey @ ltmSHU_yjH"" checks",2023-03-11T02:04:29.820Z,167850026982000
"""Spero @ 7PSVHF7rE9"" checks",2023-03-11T02:04:12.878Z,167850025287800
"River: K♣, 9♥, 7♦, 5♦ [6♠]",2023-03-11T02:04:10.491Z,167850025049100
"""ChunkyMonkey @ ltmSHU_yjH"" calls 4.99",2023-03-11T02:04:09.688Z,167850024968800
"""Spero @ 7PSVHF7rE9"" bets 4.99",2023-03-11T02:04:01.656Z,167850024165600
"Turn: K♣, 9♥, 7♦ [5♦]",2023-03-11T02:03:57.283Z,167850023728300
"""ChunkyMonkey @ ltmSHU_yjH"" calls 1.33",2023-03-11T02:03:56.431Z,167850023643100
"""Spero @ 7PSVHF7rE9"" bets 1.33",2023-03-11T02:03:52.750Z,167850023275000
"Flop:  [K♣, 9♥, 7♦]",2023-03-11T02:03:44.819Z,167850022481900
"""ChunkyMonkey @ ltmSHU_yjH"" calls 2.00",2023-03-11T02:03:43.980Z,167850022398000
"""Spero @ 7PSVHF7rE9"" raises to 2.00",2023-03-11T02:03:41.230Z,167850022123000
"""Cal @ E18ViE79KI"" folds",2023-03-11T02:03:35.702Z,167850021570200
"""Robert @ w37CveWf41"" folds",2023-03-11T02:03:31.600Z,167850021160000
"""ChunkyMonkey @ ltmSHU_yjH"" posts a big blind of 0.50",2023-03-11T02:03:29.264Z,167850020926407
"""Spero @ 7PSVHF7rE9"" posts a small blind of 0.25",2023-03-11T02:03:29.264Z,167850020926406
"Your hand is 2♣, 8♣",2023-03-11T02:03:29.264Z,167850020926404
"Player stacks: #2 ""Spero @ 7PSVHF7rE9"" (106.69) | #3 ""ChunkyMonkey @ ltmSHU_yjH"" (87.05) | #4 ""Robert @ w37CveWf41"" (144.63) | #9 ""Cal @ E18ViE79KI"" (42.76)",2023-03-11T02:03:29.264Z,167850020926401
"-- starting hand #180 (id: wbs7zvlmzxjn)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2023-03-11T02:03:29.264Z,167850020926400
"-- ending hand #179 --",2023-03-11T02:03:26.324Z,167850020632402
"""ChunkyMonkey @ ltmSHU_yjH"" collected 3.85 from pot",2023-03-11T02:03:26.324Z,167850020632401
"Uncalled bet of 1.35 returned to ""ChunkyMonkey @ ltmSHU_yjH""",2023-03-11T02:03:26.324Z,167850020632400
"""Spero @ 7PSVHF7rE9"" folds",2023-03-11T02:03:25.503Z,167850020550300
"""ChunkyMonkey @ ltmSHU_yjH"" bets 1.35",2023-03-11T02:03:24.217Z,167850020421700
"""Spero @ 7PSVHF7rE9"" checks",2023-03-11T02:03:11.396Z,167850019139600
"Flop:  [2♥, K♦, 8♠]",2023-03-11T02:03:08.998Z,167850018899800
"""Spero @ 7PSVHF7rE9"" calls 1.80",2023-03-11T02:03:08.177Z,167850018817700
"""Cal @ E18ViE79KI"" folds",2023-03-11T02:03:02.857Z,167850018285700
"""Robert @ w37CveWf41"" folds",2023-03-11T02:02:56.027Z,167850017602700
"""ChunkyMonkey @ ltmSHU_yjH"" raises to 1.80",2023-03-11T02:02:54.611Z,167850017461100
"""Spero @ 7PSVHF7rE9"" posts a big blind of 0.50",2023-03-11T02:02:48.245Z,167850016824507
"""Cal @ E18ViE79KI"" posts a small blind of 0.25",2023-03-11T02:02:48.245Z,167850016824506
"Your hand is 2♦, 4♦",2023-03-11T02:02:48.245Z,167850016824504
"Player stacks: #2 ""Spero @ 7PSVHF7rE9"" (108.49) | #3 ""ChunkyMonkey @ ltmSHU_yjH"" (85.00) | #4 ""Robert @ w37CveWf41"" (144.63) | #9 ""Cal @ E18ViE79KI"" (43.01)",2023-03-11T02:02:48.245Z,167850016824501
"-- starting hand #179 (id: dramivbmxrtw)  (No Limit Texas Hold'em) (dealer: ""Robert @ w37CveWf41"") --",2023-03-11T02:02:48.245Z,167850016824500
"-- ending hand #178 --",2023-03-11T02:02:42.242Z,167850016224202
"""Cal @ E18ViE79KI"" collected 2.95 from pot with Pair, 5's (combination: 5♦, 5♣, A♥, J♠, 8♥)",2023-03-11T02:02:42.242Z,167850016224201
"""Cal @ E18ViE79KI"" shows a A♥, 6♥.",2023-03-11T02:02:42.242Z,167850016224200
"""ChunkyMonkey @ ltmSHU_yjH"" checks",2023-03-11T02:02:41.392Z,167850016139200
"""Cal @ E18ViE79KI"" checks",2023-03-11T02:02:37.979Z,167850015797900
"River: 5♦, J♠, 8♥, 5♣ [2♠]",2023-03-11T02:02:35.160Z,167850015516000
"""ChunkyMonkey @ ltmSHU_yjH"" checks",2023-03-11T02:02:34.312Z,167850015431200
"""Cal @ E18ViE79KI"" checks",2023-03-11T02:02:30.215Z,167850015021500
"Turn: 5♦, J♠, 8♥ [5♣]",2023-03-11T02:02:27.452Z,167850014745200
"""Cal @ E18ViE79KI"" calls 0.85",2023-03-11T02:02:26.636Z,167850014663600
"""ChunkyMonkey @ ltmSHU_yjH"" bets 0.85",2023-03-11T02:02:17.983Z,167850013798300
"""Cal @ E18ViE79KI"" checks",2023-03-11T02:02:09.293Z,167850012929300
"Flop:  [5♦, J♠, 8♥]",2023-03-11T02:02:07.586Z,167850012758600
"""Cal @ E18ViE79KI"" checks",2023-03-11T02:02:06.780Z,167850012678000
"""Robert @ w37CveWf41"" folds",2023-03-11T02:01:58.199Z,167850011819900
"""ChunkyMonkey @ ltmSHU_yjH"" calls 0.50",2023-03-11T02:01:55.026Z,167850011502600
"""Spero @ 7PSVHF7rE9"" folds",2023-03-11T02:01:47.236Z,167850010723600
"""Cal @ E18ViE79KI"" posts a big blind of 0.50",2023-03-11T02:01:40.705Z,167850010070507
"""Robert @ w37CveWf41"" posts a small blind of 0.25",2023-03-11T02:01:40.705Z,167850010070506
"Your hand is 8♠, J♥",2023-03-11T02:01:40.705Z,167850010070504
"Player stacks: #2 ""Spero @ 7PSVHF7rE9"" (108.49) | #3 ""ChunkyMonkey @ ltmSHU_yjH"" (86.35) | #4 ""Robert @ w37CveWf41"" (144.88) | #9 ""Cal @ E18ViE79KI"" (41.41)",2023-03-11T02:01:40.705Z,167850010070501
"-- starting hand #178 (id: z9bgpzry6dzs)  (No Limit Texas Hold'em) (dealer: ""ChunkyMonkey @ ltmSHU_yjH"") --",2023-03-11T02:01:40.705Z,167850010070500
"-- ending hand #177 --",2023-03-11T02:01:37.787Z,167850009778702
"""ChunkyMonkey @ ltmSHU_yjH"" collected 1.00 from pot",2023-03-11T02:01:37.787Z,167850009778701
"Uncalled bet of 1.05 returned to ""ChunkyMonkey @ ltmSHU_yjH""",2023-03-11T02:01:37.787Z,167850009778700
"""Robert @ w37CveWf41"" folds",2023-03-11T02:01:36.983Z,167850009698300
"""ChunkyMonkey @ ltmSHU_yjH"" raises to 1.55",2023-03-11T02:01:34.107Z,167850009410700
"""Spero @ 7PSVHF7rE9"" folds",2023-03-11T02:01:29.070Z,167850008907000
"""Cal @ E18ViE79KI"" folds",2023-03-11T02:01:28.109Z,167850008810900
"""Robert @ w37CveWf41"" posts a big blind of 0.50",2023-03-11T02:01:25.493Z,167850008549307
"""ChunkyMonkey @ ltmSHU_yjH"" posts a small blind of 0.25",2023-03-11T02:01:25.493Z,167850008549306
"Your hand is 2♣, K♦",2023-03-11T02:01:25.493Z,167850008549304
