entry,at,order
"-- ending hand #196 --",2023-02-28T09:37:10.512Z,167757703051202
"""Chunk @ ltmSHU_yjH"" collected 7.53 from pot",2023-02-28T09:37:10.512Z,167757703051201
"Uncalled bet of 5.05 returned to ""Chunk @ ltmSHU_yjH""",2023-02-28T09:37:10.512Z,167757703051200
"""Danny Salmon @ FkEcFaEQiA"" folds",2023-02-28T09:37:09.708Z,167757702970800
"""Chunk @ ltmSHU_yjH"" bets 5.05",2023-02-28T09:37:03.654Z,167757702365400
"""Danny Salmon @ FkEcFaEQiA"" checks",2023-02-28T09:36:53.121Z,167757701312100
"Turn: J♥, 8♠, A♣ [K♥]",2023-02-28T09:36:49.897Z,167757700989700
"""spero @ 7PSVHF7rE9"" folds",2023-02-28T09:36:48.985Z,167757700898500
"""Chunk @ ltmSHU_yjH"" calls 1.39",2023-02-28T09:36:46.605Z,167757700660500
"""Danny Salmon @ FkEcFaEQiA"" bets 1.39",2023-02-28T09:36:43.400Z,167757700340000
"Flop:  [J♥, 8♠, A♣]",2023-02-28T09:36:36.489Z,167757699648900
"""Danny Salmon @ FkEcFaEQiA"" calls 1.50",2023-02-28T09:36:35.637Z,167757699563700
"""Cal @ E18ViE79KI"" folds",2023-02-28T09:36:33.798Z,167757699379800
"""spero @ 7PSVHF7rE9"" calls 1.50",2023-02-28T09:36:32.078Z,167757699207800
"""Chunk @ ltmSHU_yjH"" raises to 1.50",2023-02-28T09:36:30.772Z,167757699077200
""",=,e @ Zvsi35oizc"" folds",2023-02-28T09:36:24.404Z,167757698440400
"""stave @ MRaVq0bzL9"" folds",2023-02-28T09:36:22.293Z,167757698229300
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2023-02-28T09:36:20.704Z,167757698070400
"""Fletcher @ cMvTjZ31yy"" folds",2023-02-28T09:36:19.672Z,167757697967200
"""Danny Salmon @ FkEcFaEQiA"" posts a big blind of 0.50",2023-02-28T09:36:18.109Z,167757697810910
"""Cal @ E18ViE79KI"" posts a small blind of 0.25",2023-02-28T09:36:18.109Z,167757697810909
"Player stacks: #1 ""Chunk @ ltmSHU_yjH"" (121.22) | #2 ""spero @ 7PSVHF7rE9"" (292.75) | #3 ""Cal @ E18ViE79KI"" (260.74) | #4 ""Danny Salmon @ FkEcFaEQiA"" (72.66) | #7 ""Fletcher @ cMvTjZ31yy"" (71.52) | #8 ""stave @ MRaVq0bzL9"" (95.95) | #9 "",=,e @ Zvsi35oizc"" (100.16)",2023-02-28T09:36:18.109Z,167757697810901
"-- starting hand #196 (id: ihvjfycrxxh6)  (No Limit Texas Hold'em) (dealer: ""spero @ 7PSVHF7rE9"") --",2023-02-28T09:36:18.109Z,167757697810900
"-- ending hand #195 --",2023-02-28T09:36:12.098Z,167757697209803
""",=,e @ Zvsi35oizc"" shows a 4♦, 3♣.",2023-02-28T09:36:12.098Z,167757697209802
"""Chunk @ ltmSHU_yjH"" collected 41.36 from pot with Pair, A's (combination: A♦, A♠, Q♣, J♣, 6♠)",2023-02-28T09:36:12.098Z,167757697209801
"""Chunk @ ltmSHU_yjH"" shows a J♣, A♦.",2023-02-28T09:36:12.098Z,167757697209800
"""Chunk @ ltmSHU_yjH"" calls 2.00",2023-02-28T09:36:11.286Z,167757697128600
""",=,e @ Zvsi35oizc"" bets 2.00",2023-02-28T09:36:05.984Z,167757696598400
"River: A♠, Q♣, 4♠, 6♠ [5♦]",2023-02-28T09:35:43.241Z,167757694324100
"""Danny Salmon @ FkEcFaEQiA"" folds",2023-02-28T09:35:42.396Z,167757694239600
"""Chunk @ ltmSHU_yjH"" calls 9.34",2023-02-28T09:35:36.415Z,167757693641500
""",=,e @ Zvsi35oizc"" bets 9.34",2023-02-28T09:35:33.707Z,167757693370700
"""Danny Salmon @ FkEcFaEQiA"" checks",2023-02-28T09:35:27.565Z,167757692756500
