entry,at,order
"The player ""jesse @ U0pi2C59gl"" stand up with the stack of 445.38.",2023-03-25T02:34:13.764Z,167971165376400
"-- ending hand #417 --",2023-03-25T02:34:10.764Z,167971165076402
"""Spero @ 7PSVHF7rE9"" collected 38.55 from pot",2023-03-25T02:34:10.764Z,167971165076401
"Uncalled bet of 12.00 returned to ""Spero @ 7PSVHF7rE9""",2023-03-25T02:34:10.764Z,167971165076400
"""Duncan @ ZNWCYkgSaC"" folds",2023-03-25T02:34:09.912Z,167971164991200
"""Spero @ 7PSVHF7rE9"" bets 12.00",2023-03-25T02:34:07.354Z,167971164735400
"River: 6♥, 7♦, 2♥, A♠ [9♠]",2023-03-25T02:33:59.355Z,167971163935500
"""Duncan @ ZNWCYkgSaC"" checks",2023-03-25T02:33:58.443Z,167971163844300
"""Spero @ 7PSVHF7rE9"" checks",2023-03-25T02:33:55.530Z,167971163553000
"Turn: 6♥, 7♦, 2♥ [A♠]",2023-03-25T02:33:52.553Z,167971163255300
"""Duncan @ ZNWCYkgSaC"" calls 8.00",2023-03-25T02:33:51.742Z,167971163174200
"""Spero @ 7PSVHF7rE9"" bets 8.00",2023-03-25T02:33:48.173Z,167971162817300
"Flop:  [6♥, 7♦, 2♥]",2023-03-25T02:33:40.099Z,167971162009900
"""jesse @ U0pi2C59gl"" folds",2023-03-25T02:33:39.245Z,167971161924500
"""Duncan @ ZNWCYkgSaC"" calls 9.00",2023-03-25T02:33:38.268Z,167971161826800
"""Robert @ w37CveWf41"" folds",2023-03-25T02:33:27.977Z,167971160797700
"""Spero @ 7PSVHF7rE9"" raises to 9.00",2023-03-25T02:33:21.797Z,167971160179700
"""jesse @ U0pi2C59gl"" calls 3.55",2023-03-25T02:33:17.596Z,167971159759600
"""Duncan @ ZNWCYkgSaC"" raises to 3.55",2023-03-25T02:33:12.784Z,167971159278400
"The admin ""Robert @ w37CveWf41"" enqueued the game stop on next hand.",2023-03-25T02:33:09.927Z,167971158992700
"""Robert @ w37CveWf41"" posts a straddle of 1.00",2023-03-25T02:33:07.821Z,167971158782108
"""Spero @ 7PSVHF7rE9"" posts a big blind of 0.50",2023-03-25T02:33:07.821Z,167971158782107
"""jesse @ U0pi2C59gl"" posts a small blind of 0.25",2023-03-25T02:33:07.821Z,167971158782106
"Your hand is A♣, 2♠",2023-03-25T02:33:07.821Z,167971158782105
