entry,at,order
"-- ending hand #262 --",2023-03-02T10:46:20.149Z,167775398014902
"""Danny Salmon @ FkEcFaEQiA"" collected 0.50 from pot",2023-03-02T10:46:20.149Z,167775398014901
"Uncalled bet of 0.25 returned to ""Danny Salmon @ FkEcFaEQiA""",2023-03-02T10:46:20.149Z,167775398014900
"""Cal @ E18ViE79KI"" folds",2023-03-02T10:46:19.304Z,167775397930400
"""Fletcher @ cMvTjZ31yy"" folds",2023-03-02T10:46:12.845Z,167775397284500
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2023-03-02T10:46:11.787Z,167775397178700
"""firas @ 8s8H-GlDfP"" folds",2023-03-02T10:46:10.623Z,167775397062300
"""Spero @ 7PSVHF7rE9"" folds",2023-03-02T10:46:09.595Z,167775396959500
"""Danny Salmon @ FkEcFaEQiA"" posts a big blind of 0.50",2023-03-02T10:46:07.493Z,167775396749308
"""Cal @ E18ViE79KI"" posts a small blind of 0.25",2023-03-02T10:46:07.493Z,167775396749307
"Player stacks: #2 ""Spero @ 7PSVHF7rE9"" (179.95) | #4 ""firas @ 8s8H-GlDfP"" (38.86) | #8 ""Fletcher @ cMvTjZ31yy"" (106.72) | #9 ""Cal @ E18ViE79KI"" (196.40) | #10 ""Danny Salmon @ FkEcFaEQiA"" (130.70)",2023-03-02T10:46:07.493Z,167775396749301
"-- starting hand #262 (id: pmgavgttj8ab)  (No Limit Texas Hold'em) (dealer: ""Fletcher @ cMvTjZ31yy"") --",2023-03-02T10:46:07.493Z,167775396749300
"""Danny Salmon @ FkEcFaEQiA"" shows a 7♠, 9♠.",2023-03-02T10:46:04.263Z,167775396426300
"-- ending hand #261 --",2023-03-02T10:46:03.885Z,167775396388502
"""Danny Salmon @ FkEcFaEQiA"" collected 7.36 from pot",2023-03-02T10:46:03.885Z,167775396388501
"Uncalled bet of 2.00 returned to ""Danny Salmon @ FkEcFaEQiA""",2023-03-02T10:46:03.885Z,167775396388500
"""Fletcher @ cMvTjZ31yy"" folds",2023-03-02T10:46:03.004Z,167775396300400
"""Danny Salmon @ FkEcFaEQiA"" raises to 4.00",2023-03-02T10:46:01.549Z,167775396154900
"""Fletcher @ cMvTjZ31yy"" bets 2.00",2023-03-02T10:45:56.956Z,167775395695600
"Turn: 8♠, 6♠, 3♠ [5♠]",2023-03-02T10:45:50.874Z,167775395087400
"""Danny Salmon @ FkEcFaEQiA"" checks",2023-03-02T10:45:49.975Z,167775394997500
"""Fletcher @ cMvTjZ31yy"" checks",2023-03-02T10:45:46.527Z,167775394652700
"Flop:  [8♠, 6♠, 3♠]",2023-03-02T10:45:43.070Z,167775394307000
"""Cal @ E18ViE79KI"" folds",2023-03-02T10:45:42.163Z,167775394216300
"""Fletcher @ cMvTjZ31yy"" calls 1.43",2023-03-02T10:45:38.917Z,167775393891700
"""firas @ 8s8H-GlDfP"" folds",2023-03-02T10:45:34.673Z,167775393467300
"""Spero @ 7PSVHF7rE9"" folds",2023-03-02T10:45:33.700Z,167775393370000
"""Danny Salmon @ FkEcFaEQiA"" raises to 1.43",2023-03-02T10:45:32.722Z,167775393272200
"""Cal @ E18ViE79KI"" posts a big blind of 0.50",2023-03-02T10:45:12.647Z,167775391264708
"""Fletcher @ cMvTjZ31yy"" posts a small blind of 0.25",2023-03-02T10:45:12.647Z,167775391264707
"Player stacks: #2 ""Spero @ 7PSVHF7rE9"" (179.95) | #4 ""firas @ 8s8H-GlDfP"" (38.86) | #8 ""Fletcher @ cMvTjZ31yy"" (110.15) | #9 ""Cal @ E18ViE79KI"" (196.90) | #10 ""Danny Salmon @ FkEcFaEQiA"" (126.77)",2023-03-02T10:45:12.647Z,167775391264701
"-- starting hand #261 (id: 5mb9lnbpahdg)  (No Limit Texas Hold'em) (dealer: ""firas @ 8s8H-GlDfP"") --",2023-03-02T10:45:12.647Z,167775391264700
"""Fletcher @ cMvTjZ31yy"" shows a J♠, 10♠.",2023-03-02T10:45:04.955Z,167775390495500
"-- ending hand #260 --",2023-03-02T10:45:04.033Z,167775390403302
