entry,at,order
"The player ""Chunk @ ltmSHU_yjH"" stand up with the stack of 272.55.",2023-03-04T09:35:22.155Z,167792252215500
"-- ending hand #369 --",2023-03-04T09:35:19.235Z,167792251923502
"""Chunk @ ltmSHU_yjH"" collected 1.00 from pot",2023-03-04T09:35:19.235Z,167792251923501
"Uncalled bet of 0.50 returned to ""Chunk @ ltmSHU_yjH""",2023-03-04T09:35:19.235Z,167792251923500
"""Dante @ LW0BzlP2cA"" folds",2023-03-04T09:35:18.354Z,167792251835400
"""Chunk @ ltmSHU_yjH"" bets 0.50",2023-03-04T09:34:47.515Z,167792248751500
"""Dante @ LW0BzlP2cA"" checks",2023-03-04T09:34:45.898Z,167792248589800
"Flop:  [K♥, 9♦, A♦]",2023-03-04T09:34:15.882Z,167792245588200
"""Dante @ LW0BzlP2cA"" checks",2023-03-04T09:34:15.079Z,167792245507900
"""Chunk @ ltmSHU_yjH"" calls 0.50",2023-03-04T09:32:59.176Z,167792237917600
"""Dante @ LW0BzlP2cA"" posts a big blind of 0.50",2023-03-04T09:32:25.037Z,167792234503706
"""Chunk @ ltmSHU_yjH"" posts a small blind of 0.25",2023-03-04T09:32:25.037Z,167792234503705
"Player stacks: #1 ""Chunk @ ltmSHU_yjH"" (272.05) | #4 ""Dante @ LW0BzlP2cA"" (141.77)",2023-03-04T09:32:25.037Z,167792234503702
"-- starting hand #369 (id: uox6eximtjwh)  (No Limit Texas Hold'em) (dealer: ""Chunk @ ltmSHU_yjH"") --",2023-03-04T09:32:25.037Z,167792234503701
"The player ""jesse @ U0pi2C59gl"" quits the game with a stack of 0.00.",2023-03-04T09:32:25.037Z,167792234503700
"-- ending hand #368 --",2023-03-04T09:32:22.033Z,167792234203301
"""Chunk @ ltmSHU_yjH"" collected 66.10 from pot with Full House, 9's over 7's (combination: 9♠, 9♥, 9♦, 7♠, 7♦)",2023-03-04T09:32:22.033Z,167792234203300
"River: 7♠, 7♦, 9♦, A♥ [K♠]",2023-03-04T09:32:18.029Z,167792233802900
"""Chunk @ ltmSHU_yjH"" shows a 9♠, 9♥.",2023-03-04T09:32:17.472Z,167792233747200
"Turn: 7♠, 7♦, 9♦ [A♥]",2023-03-04T09:32:13.997Z,167792233399700
"Flop:  [7♠, 7♦, 9♦]",2023-03-04T09:32:09.991Z,167792232999100
"Some players choose to not run it twice.",2023-03-04T09:32:05.038Z,167792232503801
