entry,at,order
"-- ending hand #116 --",2023-03-05T02:47:08.630Z,167798442863002
"""Chunky @ yp--XilBie"" collected 5.50 from pot",2023-03-05T02:47:08.630Z,167798442863001
"Uncalled bet of 3.25 returned to ""Chunky @ yp--XilBie""",2023-03-05T02:47:08.630Z,167798442863000
"""Bane @ 7a-8LfcZvI"" folds",2023-03-05T02:47:07.769Z,167798442776900
"""Chunky @ yp--XilBie"" bets 3.25",2023-03-05T02:47:03.395Z,167798442339500
"Flop:  [3♣, 7♣, 8♦]",2023-03-05T02:46:50.653Z,167798441065300
"""Bane @ 7a-8LfcZvI"" calls 2.50",2023-03-05T02:46:49.809Z,167798440980900
"""Danny Salmon @ FkEcFaEQiA"" folds",2023-03-05T02:46:47.445Z,167798440744500
"""Chunky @ yp--XilBie"" raises to 2.50",2023-03-05T02:46:46.114Z,167798440611400
"""Bane @ 7a-8LfcZvI"" calls 0.50",2023-03-05T02:46:41.613Z,167798440161300
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2023-03-05T02:46:41.187Z,167798440118700
"""Cal @ E18ViE79KI"" folds",2023-03-05T02:46:39.275Z,167798439927500
"""Danny Salmon @ FkEcFaEQiA"" posts a big blind of 0.50",2023-03-05T02:46:36.836Z,167798439683607
"""Chunky @ yp--XilBie"" posts a small blind of 0.25",2023-03-05T02:46:36.836Z,167798439683606
"Player stacks: #1 ""Danny Salmon @ FkEcFaEQiA"" (21.24) | #6 ""Cal @ E18ViE79KI"" (210.57) | #7 ""Bane @ 7a-8LfcZvI"" (45.85) | #9 ""Chunky @ yp--XilBie"" (55.87)",2023-03-05T02:46:36.836Z,167798439683601
"-- starting hand #116 (id: ilx5ar8npnkl)  (No Limit Texas Hold'em) (dealer: ""Bane @ 7a-8LfcZvI"") --",2023-03-05T02:46:36.836Z,167798439683600
"-- ending hand #115 --",2023-03-05T02:46:33.907Z,167798439390702
"""Cal @ E18ViE79KI"" collected 4.25 from pot",2023-03-05T02:46:33.907Z,167798439390701
"Uncalled bet of 1.50 returned to ""Cal @ E18ViE79KI""",2023-03-05T02:46:33.907Z,167798439390700
"""Chunky @ yp--XilBie"" folds",2023-03-05T02:46:33.073Z,167798439307300
"""Cal @ E18ViE79KI"" bets 1.50",2023-03-05T02:46:26.085Z,167798438608500
"""Chunky @ yp--XilBie"" checks",2023-03-05T02:46:21.388Z,167798438138800
"Flop:  [9♥, J♥, 5♦]",2023-03-05T02:46:16.979Z,167798437697900
"""Chunky @ yp--XilBie"" calls 2.00",2023-03-05T02:46:16.175Z,167798437617500
"""Bane @ 7a-8LfcZvI"" folds",2023-03-05T02:46:13.204Z,167798437320400
"""Cal @ E18ViE79KI"" raises to 2.00",2023-03-05T02:46:09.977Z,167798436997700
"""Danny Salmon @ FkEcFaEQiA"" folds",2023-03-05T02:46:05.102Z,167798436510200
"""Chunky @ yp--XilBie"" posts a big blind of 0.50",2023-03-05T02:46:03.571Z,167798436357107
"""Bane @ 7a-8LfcZvI"" posts a small blind of 0.25",2023-03-05T02:46:03.571Z,167798436357106
"Player stacks: #1 ""Danny Salmon @ FkEcFaEQiA"" (21.24) | #6 ""Cal @ E18ViE79KI"" (208.32) | #7 ""Bane @ 7a-8LfcZvI"" (46.10) | #9 ""Chunky @ yp--XilBie"" (57.87)",2023-03-05T02:46:03.571Z,167798436357101
"-- starting hand #115 (id: o7abu1n6n9cz)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2023-03-05T02:46:03.571Z,167798436357100
"""Danny Salmon @ FkEcFaEQiA"" shows a A♠, 2♦.",2023-03-05T02:45:58.112Z,167798435811200
"-- ending hand #114 --",2023-03-05T02:45:57.025Z,167798435702502
"""Bane @ 7a-8LfcZvI"" collected 10.49 from pot with Pair, A's (combination: A♥, A♣, K♠, 10♦, 9♣)",2023-03-05T02:45:57.025Z,167798435702501
"""Bane @ 7a-8LfcZvI"" shows a 10♦, A♥.",2023-03-05T02:45:57.025Z,167798435702500
