entry,at,order
"-- ending hand #224 --",2023-03-09T10:24:16.521Z,167835745652102
"""Spero @ 7PSVHF7rE9"" collected 0.50 from pot",2023-03-09T10:24:16.521Z,167835745652101
"Uncalled bet of 0.25 returned to ""Spero @ 7PSVHF7rE9""",2023-03-09T10:24:16.521Z,167835745652100
"""dexterrrr @ yhvtAqlfsL"" folds",2023-03-09T10:24:15.658Z,167835745565800
"""firas @ 8s8H-GlDfP"" folds",2023-03-09T10:24:14.621Z,167835745462100
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2023-03-09T10:24:14.337Z,167835745433700
"""Cal @ E18ViE79KI"" folds",2023-03-09T10:24:12.063Z,167835745206300
"""Spero @ 7PSVHF7rE9"" posts a big blind of 0.50",2023-03-09T10:24:08.717Z,167835744871707
"""dexterrrr @ yhvtAqlfsL"" posts a small blind of 0.25",2023-03-09T10:24:08.717Z,167835744871706
"Player stacks: #4 ""Spero @ 7PSVHF7rE9"" (88.18) | #6 ""Cal @ E18ViE79KI"" (518.95) | #7 ""firas @ 8s8H-GlDfP"" (72.53) | #9 ""dexterrrr @ yhvtAqlfsL"" (26.20)",2023-03-09T10:24:08.717Z,167835744871701
"-- starting hand #224 (id: oy3one7t2ya5)  (No Limit Texas Hold'em) (dealer: ""firas @ 8s8H-GlDfP"") --",2023-03-09T10:24:08.717Z,167835744871700
"""dexterrrr @ yhvtAqlfsL"" shows a A♦, Q♥.",2023-03-09T10:24:05.017Z,167835744501700
"""Cal @ E18ViE79KI"" shows a 5♣, 5♥.",2023-03-09T10:24:03.369Z,167835744336900
"-- ending hand #223 --",2023-03-09T10:24:01.698Z,167835744169802
"""firas @ 8s8H-GlDfP"" collected 22.48 from pot with Flush, As High (combination: A♠, Q♠, 9♠, 6♠, 3♠)",2023-03-09T10:24:01.698Z,167835744169801
"""firas @ 8s8H-GlDfP"" shows a 3♠, K♣.",2023-03-09T10:24:01.698Z,167835744169800
"""dexterrrr @ yhvtAqlfsL"" calls 5.62",2023-03-09T10:24:00.854Z,167835744085400
"""firas @ 8s8H-GlDfP"" bets 5.62",2023-03-09T10:23:54.373Z,167835743437300
"River: A♠, 6♠, 9♠, Q♠ [5♦]",2023-03-09T10:23:50.473Z,167835743047300
"""dexterrrr @ yhvtAqlfsL"" checks",2023-03-09T10:23:49.654Z,167835742965400
"""firas @ 8s8H-GlDfP"" checks",2023-03-09T10:23:47.482Z,167835742748200
"Turn: A♠, 6♠, 9♠ [Q♠]",2023-03-09T10:23:42.062Z,167835742206200
"""Cal @ E18ViE79KI"" folds",2023-03-09T10:23:41.199Z,167835742119900
"""dexterrrr @ yhvtAqlfsL"" calls 3.37",2023-03-09T10:23:40.189Z,167835742018900
"""firas @ 8s8H-GlDfP"" bets 3.37",2023-03-09T10:23:35.661Z,167835741566100
"Flop:  [A♠, 6♠, 9♠]",2023-03-09T10:23:30.554Z,167835741055400
"""dexterrrr @ yhvtAqlfsL"" calls 1.50",2023-03-09T10:23:29.734Z,167835740973400
"""firas @ 8s8H-GlDfP"" calls 1.50",2023-03-09T10:23:27.858Z,167835740785800
"""Cal @ E18ViE79KI"" raises to 1.50",2023-03-09T10:23:19.060Z,167835739906000
"""Spero @ 7PSVHF7rE9"" folds",2023-03-09T10:23:15.193Z,167835739519300
"""dexterrrr @ yhvtAqlfsL"" posts a big blind of 0.50",2023-03-09T10:23:05.911Z,167835738591107
"""firas @ 8s8H-GlDfP"" posts a small blind of 0.25",2023-03-09T10:23:05.911Z,167835738591106
"Player stacks: #4 ""Spero @ 7PSVHF7rE9"" (88.18) | #6 ""Cal @ E18ViE79KI"" (520.45) | #7 ""firas @ 8s8H-GlDfP"" (60.54) | #9 ""dexterrrr @ yhvtAqlfsL"" (36.69)",2023-03-09T10:23:05.911Z,167835738591101
"-- starting hand #223 (id: r34yazzbusk3)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2023-03-09T10:23:05.911Z,167835738591100
"-- ending hand #222 --",2023-03-09T10:22:59.905Z,167835737990503
"""firas @ 8s8H-GlDfP"" shows a 6♣, 6♠.",2023-03-09T10:22:59.905Z,167835737990502
"""dexterrrr @ yhvtAqlfsL"" collected 3.75 from pot with Flush, Jc High (combination: J♣, 10♣, 9♣, 7♣, 4♣)",2023-03-09T10:22:59.905Z,167835737990501
"""dexterrrr @ yhvtAqlfsL"" shows a 9♣, 7♣.",2023-03-09T10:22:59.905Z,167835737990500
"""dexterrrr @ yhvtAqlfsL"" checks",2023-03-09T10:22:59.056Z,167835737905600
"""firas @ 8s8H-GlDfP"" checks",2023-03-09T10:22:55.780Z,167835737578000
"River: J♣, 4♣, 5♦, 3♠ [10♣]",2023-03-09T10:22:53.733Z,167835737373300
"""dexterrrr @ yhvtAqlfsL"" checks",2023-03-09T10:22:52.911Z,167835737291100
"""firas @ 8s8H-GlDfP"" checks",2023-03-09T10:22:51.886Z,167835737188600
"Turn: J♣, 4♣, 5♦ [3♠]",2023-03-09T10:22:49.133Z,167835736913300
"""dexterrrr @ yhvtAqlfsL"" calls 1.25",2023-03-09T10:22:48.304Z,167835736830400
"""firas @ 8s8H-GlDfP"" bets 1.25",2023-03-09T10:22:39.323Z,167835735932300
"Flop:  [J♣, 4♣, 5♦]",2023-03-09T10:22:34.868Z,167835735486800
