entry,at,order
"""jesse @ U0pi2C59gl"" shows a A♦, Q♠.",2023-04-13T09:05:00.727Z,168137670072700
"""Cal @ E18ViE79KI"" shows a 2♦, 3♥.",2023-04-13T09:05:00.633Z,168137670063300
"-- ending hand #229 --",2023-04-13T09:04:59.943Z,168137669994302
"""jesse @ U0pi2C59gl"" collected 2.25 from pot",2023-04-13T09:04:59.943Z,168137669994301
"Uncalled bet of 2.25 returned to ""jesse @ U0pi2C59gl""",2023-04-13T09:04:59.943Z,168137669994300
"""Cal @ E18ViE79KI"" folds",2023-04-13T09:04:59.050Z,168137669905000
"""jesse @ U0pi2C59gl"" raises to 3.25",2023-04-13T09:04:51.192Z,168137669119200
"""Robert @ w37CveWf41"" folds",2023-04-13T09:04:47.896Z,168137668789600
"""Spero @ Z_95jlf3Kx"" folds",2023-04-13T09:04:46.935Z,168137668693500
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2023-04-13T09:04:33.007Z,168137667300700
"""Cal @ E18ViE79KI"" posts a straddle of 1.00",2023-04-13T09:04:28.499Z,168137666849908
"""jesse @ U0pi2C59gl"" posts a big blind of 0.50",2023-04-13T09:04:28.499Z,168137666849907
"""Robert @ w37CveWf41"" posts a small blind of 0.25",2023-04-13T09:04:28.499Z,168137666849906
"Your hand is 2♠, 5♠",2023-04-13T09:04:28.499Z,168137666849902
"Player stacks: #4 ""Robert @ w37CveWf41"" (245.49) | #5 ""jesse @ U0pi2C59gl"" (92.50) | #6 ""Cal @ E18ViE79KI"" (169.15) | #10 ""Spero @ Z_95jlf3Kx"" (211.53)",2023-04-13T09:04:28.499Z,168137666849901
"-- starting hand #229 (id: 6vb2ft1c38dn)  (No Limit Texas Hold'em) (dealer: ""Spero @ Z_95jlf3Kx"") --",2023-04-13T09:04:28.499Z,168137666849900
"""jesse @ U0pi2C59gl"" shows a 7♥, 6♥.",2023-04-13T09:04:25.378Z,168137666537800
"-- ending hand #228 --",2023-04-13T09:04:24.819Z,168137666481902
"""Robert @ w37CveWf41"" collected 14.25 from pot",2023-04-13T09:04:24.819Z,168137666481901
"Uncalled bet of 10.00 returned to ""Robert @ w37CveWf41""",2023-04-13T09:04:24.819Z,168137666481900
"""jesse @ U0pi2C59gl"" folds",2023-04-13T09:04:23.958Z,168137666395800
"""Robert @ w37CveWf41"" bets 10.00",2023-04-13T09:04:16.519Z,168137665651900
"Turn: Q♠, 7♦, 3♦ [9♥]",2023-04-13T09:04:14.149Z,168137665414900
"""jesse @ U0pi2C59gl"" calls 4.00",2023-04-13T09:04:13.309Z,168137665330900
"""Robert @ w37CveWf41"" bets 4.00",2023-04-13T09:04:11.020Z,168137665102000
"Flop:  [Q♠, 7♦, 3♦]",2023-04-13T09:04:06.465Z,168137664646500
"""jesse @ U0pi2C59gl"" calls 3.00",2023-04-13T09:04:05.619Z,168137664561900
"""Robert @ w37CveWf41"" raises to 3.00",2023-04-13T09:04:03.201Z,168137664320100
"""Spero @ Z_95jlf3Kx"" folds",2023-04-13T09:03:58.517Z,168137663851700
"""Cal @ E18ViE79KI"" folds",2023-04-13T09:03:57.375Z,168137663737500
"""jesse @ U0pi2C59gl"" posts a straddle of 1.00",2023-04-13T09:03:47.719Z,168137662771909
"""Robert @ w37CveWf41"" posts a big blind of 0.50",2023-04-13T09:03:47.719Z,168137662771908
"""Spero @ Z_95jlf3Kx"" posts a small blind of 0.25",2023-04-13T09:03:47.719Z,168137662771907
"Your hand is A♥, Q♣",2023-04-13T09:03:47.719Z,168137662771903
"Player stacks: #4 ""Robert @ w37CveWf41"" (238.24) | #5 ""jesse @ U0pi2C59gl"" (99.50) | #6 ""Cal @ E18ViE79KI"" (169.15) | #10 ""Spero @ Z_95jlf3Kx"" (211.78)",2023-04-13T09:03:47.719Z,168137662771902
"-- starting hand #228 (id: 5s2w4frpwubb)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2023-04-13T09:03:47.719Z,168137662771901
"The player ""DLA @ ltmSHU_yjH"" stand up with the stack of 170.47.",2023-04-13T09:03:47.719Z,168137662771900
"-- ending hand #227 --",2023-04-13T09:03:44.750Z,168137662475002
"""DLA @ ltmSHU_yjH"" collected 11.00 from pot",2023-04-13T09:03:44.750Z,168137662475001
"Uncalled bet of 5.85 returned to ""DLA @ ltmSHU_yjH""",2023-04-13T09:03:44.750Z,168137662475000
"""Cal @ E18ViE79KI"" folds",2023-04-13T09:03:43.945Z,168137662394500
"""jesse @ U0pi2C59gl"" folds",2023-04-13T09:03:38.947Z,168137661894700
"""DLA @ ltmSHU_yjH"" bets 5.85",2023-04-13T09:03:37.964Z,168137661796400
"""Cal @ E18ViE79KI"" checks",2023-04-13T09:03:27.213Z,168137660721300
"Turn: Q♦, K♣, J♦ [Q♠]",2023-04-13T09:03:18.484Z,168137659848400
"""jesse @ U0pi2C59gl"" checks",2023-04-13T09:03:17.634Z,168137659763400
"""DLA @ ltmSHU_yjH"" checks",2023-04-13T09:03:15.319Z,168137659531900
"""Cal @ E18ViE79KI"" checks",2023-04-13T09:03:12.678Z,168137659267800
"Flop:  [Q♦, K♣, J♦]",2023-04-13T09:03:08.324Z,168137658832400
"""jesse @ U0pi2C59gl"" calls 3.50",2023-04-13T09:03:07.472Z,168137658747200
"""DLA @ ltmSHU_yjH"" calls 3.50",2023-04-13T09:03:05.484Z,168137658548400
"""Spero @ Z_95jlf3Kx"" folds",2023-04-13T09:03:03.395Z,168137658339500
"""Cal @ E18ViE79KI"" raises to 3.50",2023-04-13T09:03:02.434Z,168137658243400
"""jesse @ U0pi2C59gl"" calls 1.00",2023-04-13T09:02:54.584Z,168137657458400
"""Robert @ w37CveWf41"" folds",2023-04-13T09:02:52.480Z,168137657248000
"""DLA @ ltmSHU_yjH"" posts a straddle of 1.00",2023-04-13T09:02:50.861Z,168137657086109
"""Spero @ Z_95jlf3Kx"" posts a big blind of 0.50",2023-04-13T09:02:50.861Z,168137657086108
"""Cal @ E18ViE79KI"" posts a small blind of 0.25",2023-04-13T09:02:50.861Z,168137657086107
"Your hand is 8♣, 10♦",2023-04-13T09:02:50.861Z,168137657086103
"Player stacks: #3 ""DLA @ ltmSHU_yjH"" (162.97) | #4 ""Robert @ w37CveWf41"" (238.24) | #5 ""jesse @ U0pi2C59gl"" (103.00) | #6 ""Cal @ E18ViE79KI"" (172.65) | #10 ""Spero @ Z_95jlf3Kx"" (212.28)",2023-04-13T09:02:50.861Z,168137657086101
"-- starting hand #227 (id: puqrk1lp9gyz)  (No Limit Texas Hold'em) (dealer: ""jesse @ U0pi2C59gl"") --",2023-04-13T09:02:50.861Z,168137657086100
"-- ending hand #226 --",2023-04-13T09:02:47.856Z,168137656785602
"""DLA @ ltmSHU_yjH"" collected 9.75 from pot",2023-04-13T09:02:47.856Z,168137656785601
"Uncalled bet of 3.05 returned to ""DLA @ ltmSHU_yjH""",2023-04-13T09:02:47.856Z,168137656785600
"""Spero @ Z_95jlf3Kx"" folds",2023-04-13T09:02:46.971Z,168137656697100
"""Robert @ w37CveWf41"" folds",2023-04-13T09:02:45.908Z,168137656590800
"""DLA @ ltmSHU_yjH"" bets 3.05",2023-04-13T09:02:44.138Z,168137656413800
"""Spero @ Z_95jlf3Kx"" checks",2023-04-13T09:02:37.769Z,168137655776900
"Turn: K♥, 6♣, 6♥ [2♠]",2023-04-13T09:02:25.677Z,168137654567700
"""Robert @ w37CveWf41"" checks",2023-04-13T09:02:24.840Z,168137654484000
"""DLA @ ltmSHU_yjH"" checks",2023-04-13T09:02:22.711Z,168137654271100
"""Spero @ Z_95jlf3Kx"" checks",2023-04-13T09:02:20.875Z,168137654087500
"Flop:  [K♥, 6♣, 6♥]",2023-04-13T09:02:17.989Z,168137653798900
