entry,at,order
"""firas @ 6GuXgMidzA"" shows a 7♠, 10♦.",2023-04-26T09:22:18.942Z,168250093894200
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2023-04-26T09:22:17.154Z,168250093715400
"""Allin Ripley @ 7a-8LfcZvI"" shows a 10♥, 9♠.",2023-04-26T09:22:15.369Z,168250093536900
"-- ending hand #254 --",2023-04-26T09:22:13.454Z,168250093345402
"""Cal @ E18ViE79KI"" collected 14.00 from pot with Pair, Q's (combination: Q♦, Q♠, A♠, K♥, J♦)",2023-04-26T09:22:13.454Z,168250093345401
"""Cal @ E18ViE79KI"" shows a Q♦, Q♠.",2023-04-26T09:22:13.454Z,168250093345400
"""Josh @ j2crf9M059"" checks",2023-04-26T09:22:12.589Z,168250093258900
"""Cal @ E18ViE79KI"" checks",2023-04-26T09:22:11.232Z,168250093123200
"River: A♠, J♦, 6♣, K♥ [3♣]",2023-04-26T09:22:07.506Z,168250092750600
"""Josh @ j2crf9M059"" checks",2023-04-26T09:22:06.674Z,168250092667400
"""Cal @ E18ViE79KI"" checks",2023-04-26T09:22:05.442Z,168250092544200
"Turn: A♠, J♦, 6♣ [K♥]",2023-04-26T09:21:58.957Z,168250091895700
"""Allin Ripley @ 7a-8LfcZvI"" folds",2023-04-26T09:21:58.116Z,168250091811600
"""firas @ 6GuXgMidzA"" folds",2023-04-26T09:21:55.160Z,168250091516000
"""Josh @ j2crf9M059"" calls 3.00",2023-04-26T09:21:51.889Z,168250091188900
"""Cal @ E18ViE79KI"" bets 3.00",2023-04-26T09:21:50.580Z,168250091058000
"""Allin Ripley @ 7a-8LfcZvI"" checks",2023-04-26T09:21:43.375Z,168250090337500
"""firas @ 6GuXgMidzA"" checks",2023-04-26T09:21:40.802Z,168250090080200
"Flop:  [A♠, J♦, 6♣]",2023-04-26T09:21:38.427Z,168250089842700
"""Allin Ripley @ 7a-8LfcZvI"" calls 2.00",2023-04-26T09:21:37.578Z,168250089757800
"""firas @ 6GuXgMidzA"" calls 2.00",2023-04-26T09:21:35.601Z,168250089560100
"""Josh @ j2crf9M059"" calls 2.00",2023-04-26T09:21:34.533Z,168250089453300
"""Cal @ E18ViE79KI"" raises to 2.00",2023-04-26T09:21:32.684Z,168250089268400
"""Allin Ripley @ 7a-8LfcZvI"" posts a big blind of 0.50",2023-04-26T09:21:28.123Z,168250088812307
"""firas @ 6GuXgMidzA"" posts a small blind of 0.25",2023-04-26T09:21:28.123Z,168250088812306
"Player stacks: #1 ""Cal @ E18ViE79KI"" (54.05) | #3 ""Josh @ j2crf9M059"" (89.73) | #4 ""firas @ 6GuXgMidzA"" (137.39) | #7 ""Allin Ripley @ 7a-8LfcZvI"" (178.27)",2023-04-26T09:21:28.123Z,168250088812301
"-- starting hand #254 (id: zdu0wqbaecfz)  (No Limit Texas Hold'em) (dealer: ""Josh @ j2crf9M059"") --",2023-04-26T09:21:28.123Z,168250088812300
"-- ending hand #253 --",2023-04-26T09:21:22.116Z,168250088211602
"""Josh @ j2crf9M059"" collected 17.00 from pot with Pair, 5's (combination: 5♠, 5♦, A♥, K♦, 10♠)",2023-04-26T09:21:22.116Z,168250088211601
"""Josh @ j2crf9M059"" shows a A♥, 9♣.",2023-04-26T09:21:22.116Z,168250088211600
"""firas @ 6GuXgMidzA"" checks",2023-04-26T09:21:21.298Z,168250088129800
"""Josh @ j2crf9M059"" checks",2023-04-26T09:21:10.643Z,168250087064300
"River: 3♠, 10♠, 5♠, K♦ [5♦]",2023-04-26T09:21:08.396Z,168250086839600
"""Josh @ j2crf9M059"" calls 6.00",2023-04-26T09:21:07.571Z,168250086757100
"""firas @ 6GuXgMidzA"" raises to 6.00",2023-04-26T09:21:06.059Z,168250086605900
"""Josh @ j2crf9M059"" bets 2.50",2023-04-26T09:21:01.791Z,168250086179100
"Turn: 3♠, 10♠, 5♠ [K♦]",2023-04-26T09:20:59.092Z,168250085909200
"""firas @ 6GuXgMidzA"" calls 1.25",2023-04-26T09:20:58.266Z,168250085826600
"""Josh @ j2crf9M059"" bets 1.25",2023-04-26T09:20:56.507Z,168250085650700
"Flop:  [3♠, 10♠, 5♠]",2023-04-26T09:20:51.274Z,168250085127400
"""firas @ 6GuXgMidzA"" calls 1.25",2023-04-26T09:20:50.383Z,168250085038300
