entry,at,order
"The player ""KONY @ wuWy02DFa-"" stand up with the stack of 222.65.",2024-03-12T06:58:33.749Z,171022671374900
"""Focket Fings @ TFyUK1K-ex"" shows a 4♥, K♠.",2024-03-12T06:58:31.303Z,171022671130300
"-- ending hand #158 --",2024-03-12T06:58:30.140Z,171022671014002
"""Focket Fings @ TFyUK1K-ex"" collected 1.00 from pot",2024-03-12T06:58:30.140Z,171022671014001
"Uncalled bet of 10.25 returned to ""Focket Fings @ TFyUK1K-ex""",2024-03-12T06:58:30.140Z,171022671014000
"""Cal @ E18ViE79KI"" folds",2024-03-12T06:58:29.316Z,171022670931600
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2024-03-12T06:58:27.914Z,171022670791400
"""Focket Fings @ TFyUK1K-ex"" bets 10.25",2024-03-12T06:58:21.367Z,171022670136700
"Turn: 6♥, Q♦, K♥ [3♦]",2024-03-12T06:58:16.787Z,171022669678700
"""Cal @ E18ViE79KI"" checks",2024-03-12T06:58:15.963Z,171022669596300
"""Focket Fings @ TFyUK1K-ex"" checks",2024-03-12T06:58:13.744Z,171022669374400
"Flop:  [6♥, Q♦, K♥]",2024-03-12T06:58:12.079Z,171022669207900
"""Cal @ E18ViE79KI"" checks",2024-03-12T06:58:11.273Z,171022669127300
"""Focket Fings @ TFyUK1K-ex"" calls 0.50",2024-03-12T06:58:09.232Z,171022668923200
"""Robert @ w37CveWf41"" folds",2024-03-12T06:58:08.257Z,171022668825700
"""KONY @ wuWy02DFa-"" folds",2024-03-12T06:58:07.394Z,171022668739400
"""Cal @ E18ViE79KI"" posts a big blind of 0.50",2024-03-12T06:58:04.723Z,171022668472307
"""Focket Fings @ TFyUK1K-ex"" posts a small blind of 0.25",2024-03-12T06:58:04.723Z,171022668472306
"Your hand is 2♥, 6♠",2024-03-12T06:58:04.723Z,171022668472304
"Player stacks: #2 ""Cal @ E18ViE79KI"" (276.25) | #4 ""KONY @ wuWy02DFa-"" (222.65) | #5 ""Robert @ w37CveWf41"" (125.78) | #8 ""Focket Fings @ TFyUK1K-ex"" (175.67)",2024-03-12T06:58:04.723Z,171022668472301
"-- starting hand #158 (id: thrcegcjvxxi)  (No Limit Texas Hold'em) (dealer: ""Robert @ w37CveWf41"") --",2024-03-12T06:58:04.723Z,171022668472300
"-- ending hand #157 --",2024-03-12T06:57:58.714Z,171022667871403
"""Cal @ E18ViE79KI"" shows a K♣, J♥.",2024-03-12T06:57:58.714Z,171022667871402
"""KONY @ wuWy02DFa-"" collected 9.33 from pot with A High (combination: A♦, K♥, 8♣, 7♠, 6♠)",2024-03-12T06:57:58.714Z,171022667871401
"""KONY @ wuWy02DFa-"" shows a A♦, K♥.",2024-03-12T06:57:58.714Z,171022667871400
"""KONY @ wuWy02DFa-"" checks",2024-03-12T06:57:57.899Z,171022667789900
"""Cal @ E18ViE79KI"" checks",2024-03-12T06:57:56.650Z,171022667665000
"River: 8♣, 6♠, 3♦, 2♦ [7♠]",2024-03-12T06:57:53.316Z,171022667331600
"""KONY @ wuWy02DFa-"" checks",2024-03-12T06:57:52.496Z,171022667249600
"""Cal @ E18ViE79KI"" checks",2024-03-12T06:57:47.556Z,171022666755600
"Turn: 8♣, 6♠, 3♦ [2♦]",2024-03-12T06:57:42.856Z,171022666285600
"""KONY @ wuWy02DFa-"" checks",2024-03-12T06:57:42.015Z,171022666201500
"""Cal @ E18ViE79KI"" checks",2024-03-12T06:57:36.053Z,171022665605300
"Flop:  [8♣, 6♠, 3♦]",2024-03-12T06:57:33.448Z,171022665344800
"""Cal @ E18ViE79KI"" calls 4.29",2024-03-12T06:57:32.615Z,171022665261500
"""Focket Fings @ TFyUK1K-ex"" folds",2024-03-12T06:57:29.623Z,171022664962300
"""Robert @ w37CveWf41"" folds",2024-03-12T06:57:28.722Z,171022664872200
"""KONY @ wuWy02DFa-"" raises to 4.29",2024-03-12T06:57:27.849Z,171022664784900
"""Cal @ E18ViE79KI"" raises to 2.00",2024-03-12T06:57:21.689Z,171022664168900
"""Focket Fings @ TFyUK1K-ex"" posts a big blind of 0.50",2024-03-12T06:57:18.678Z,171022663867807
"""Robert @ w37CveWf41"" posts a small blind of 0.25",2024-03-12T06:57:18.678Z,171022663867806
"Your hand is 3♣, 10♦",2024-03-12T06:57:18.678Z,171022663867804
"Player stacks: #2 ""Cal @ E18ViE79KI"" (280.54) | #4 ""KONY @ wuWy02DFa-"" (217.61) | #5 ""Robert @ w37CveWf41"" (126.03) | #8 ""Focket Fings @ TFyUK1K-ex"" (176.17)",2024-03-12T06:57:18.678Z,171022663867801
"-- starting hand #157 (id: fdomowtjsnb8)  (No Limit Texas Hold'em) (dealer: ""KONY @ wuWy02DFa-"") --",2024-03-12T06:57:18.678Z,171022663867800
"""Robert @ w37CveWf41"" shows a 7♥, 9♣.",2024-03-12T06:57:15.619Z,171022663561900
"-- ending hand #156 --",2024-03-12T06:57:15.075Z,171022663507502
"""Robert @ w37CveWf41"" collected 8.25 from pot",2024-03-12T06:57:15.075Z,171022663507501
"Uncalled bet of 3.50 returned to ""Robert @ w37CveWf41""",2024-03-12T06:57:15.075Z,171022663507500
"""Cal @ E18ViE79KI"" folds",2024-03-12T06:57:14.251Z,171022663425100
"""Robert @ w37CveWf41"" bets 3.50",2024-03-12T06:57:09.618Z,171022662961800
"Turn: 9♠, A♣, 10♠ [A♦]",2024-03-12T06:57:01.556Z,171022662155600
"""Robert @ w37CveWf41"" calls 2.00",2024-03-12T06:57:00.725Z,171022662072500
"""Cal @ E18ViE79KI"" bets 2.00",2024-03-12T06:56:56.936Z,171022661693600
"""Robert @ w37CveWf41"" checks",2024-03-12T06:56:49.264Z,171022660926400
"Flop:  [9♠, A♣, 10♠]",2024-03-12T06:56:44.997Z,171022660499700
"""Robert @ w37CveWf41"" calls 2.00",2024-03-12T06:56:44.191Z,171022660419100
"""KONY @ wuWy02DFa-"" folds",2024-03-12T06:56:42.180Z,171022660218000
"""Cal @ E18ViE79KI"" raises to 2.00",2024-03-12T06:56:41.265Z,171022660126500
"""Focket Fings @ TFyUK1K-ex"" folds",2024-03-12T06:56:37.431Z,171022659743100
